"","Countryname","Country","S_INFORM_vul","S_INFORM_vul_norm","S_gdp_change.Value","S_gdp_change.Rating","S_unemployment.Value","S_unemployment.Rating","S_income_support.Value","S_income_support.Rating","S_gdp_change.Rating_norm","S_unemployment.Rating_norm","S_income_support.Rating_crm_norm","S_pov_comb_norm","S_pov_prop_22_21_norm","S_pov_prop_21_20_norm","S_pov_prop_20_19_norm","S_pov_prop_22_21","S_pov_prop_21_20","S_pov_prop_20_19","S_Subject.Descriptor","S_Subject.Notes","S_Units","S_Scale","Country.Series.specific.Notes","S_X2017","S_X2018","S_X2019","S_X2020","S_X2021","S_X2022","S_X2023","S_X2024","S_X2025","S_X2026","S_Estimates.Start.After","S_change_unemp_21","S_change_unemp_20","S_change_unemp_21_norm","S_change_unemp_20_norm","S_change_unemp_norm","S_Household.risks","S_Household.risks_raw","S_phone_average_index","S_phone_average_index_norm"
"13","Benin","BEN",6.4,9.14285714285714,"5.0 %","Low","NO DATA",NA,"Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",0,NA,3,0.973648806288665,0,0.212760931510019,0.973648806288665,-1.5975385922754,-0.957447813697996,0.2920946418866,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Burkina Faso","BFA",6.8,9.71428571428571,"4.3 %","Low","NO DATA",NA,"No income support","High",0,NA,7,6.35530978231749,2.90853573243901,6.35530978231749,6.34366306448233,-0.918292853512199,0.271061956463498,1.9030989193447,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94095897674561,4.20136996677944
"15","Bangladesh","BGD",4.8,6.85714285714286,"5.0 %","Low","NO DATA",NA,"No income support","High",0,NA,7,10,5.66432007050301,4.5659165637375,10,-0.367135985899399,-0.0868166872525009,9.3,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.30379104614258,3.29113006591797
"16","Bulgaria","BGR",1.9,2.71428571428571,"4.4 %","Low","5.2 %","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",0,7,3,6.1507084423729,6.1507084423729,5,0,-0.26985831152542,0,0,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,"Source: National Statistics Office Latest actual data: 2020 Employment type: National definition Primary domestic currency: Bulgarian lev Data last updated: 03/2021",6.23,5.2,4.2,5.207,4.8,4.4,4.3,4.2,4.2,4.2,2020,-0.407,1.007,0,3.35666666666667,3.35666666666667,0,0,7.64731784396701,10
"17","Bahrain","BHR",1.2,1.71428571428572,"-5.4 %","High","5.0 %","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",10,7,3,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,"Source: Other Latest actual data: 2018 Employment type: National definition Primary domestic currency: Bahrain dinar Data last updated: 02/2021",3.58,3.94,4,5.039,3.773,3.797,3.799,3.804,3.804,3.804,2018,-1.266,1.039,0,3.46333333333333,3.46333333333333,NA,NA,NA,NA
"18","Bahamas","BHS",2.4,3.42857142857143,"-16.3 %","High","24.0 %","High","NO DATA",NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,"Source: National Statistics Office Latest actual data: 2018 Employment type: National definition Primary domestic currency: Bahamian dollar Data last updated: 02/2021",10.1,10.35,10.1,25.571,23.998,17.25,13.545,12.77,12.51,11.988,2018,-1.573,15.471,0,10,10,NA,NA,NA,NA
"19","Bosnia and Herzegovina","BIH",2.6,3.71428571428571,"-5.5 %","High","19.0 %","Medium","No income support","High",10,7,7,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,"Source: National Statistics Office. Figures are derived from the labor force survey using population data from the UN. Latest actual data: 2019 Employment type: National definition Primary domestic currency: Convertible marka Data last updated: 01/2021",20.5,18.4,15.7,19,17.5,16.8,16,15.3,14.5,14.7,2019,-1.5,3.3,0,10,10,NA,NA,NA,NA
"20","Belarus","BLR",1.1,1.57142857142857,"-0.9 %","Medium","4.5 %","Low","No income support","High",7,0,7,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2018 Employment type: National definition Primary domestic currency: Belarusian rubel Data last updated: 03/2021",5.684,4.825,4.225,4.1,4.473,4.376,4.183,4.086,3.989,3.941,2018,0.373,-0.125,3.73,0,3.73,0,0,NA,NA
"21","Belize","BLZ",3.8,5.42857142857143,"1.9 %","Low","23.2 %","High","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,10,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,"Source: National Statistics Office Latest actual data: 2019. Data for 2010 and 2011 are staff estimates because there was no labor force survey conducted for those years. Employment type: National definition Primary domestic currency: Belize dollar Data last updated: 03/2021",9.35,9.725,9,23.699,23.237,18.811,16.073,15.251,14.42,13.581,2019,-0.462000000000003,14.699,0,10,10,NA,NA,NA,NA
"22","Bolivia","BOL",4.4,6.28571428571429,"5.5 %","Low","4.0 %","Low","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,0,0,5.20683520151657,5.03455702648345,1.3893755901296,5.20683520151657,-0.49308859470331,-0.72212488197408,1.56205056045497,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,"Source: National Statistics Office Latest actual data: 2019 Employment type: National definition Primary domestic currency: Bolivian boliviano Data last updated: 01/2021",4,4,4,8,4,4,4,4,4,4,2019,-4,4,0,10,10,NA,NA,4.04533398946126,5.77904855637323
"23","Brazil","BRA",3.5,5,"3.7 %","Low","13.2 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,7,0,10,2.99666993648995,10,0,-0.90066601270201,3.73753883651268,-2.57631963743077,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,"Source: National Statistics Office Latest actual data: 2020. Employment rate from household survey (PNAD Continua) times official population estimates by the National Statistical Office (IBGE). Employment type: National definition Primary domestic currency: Brazilian real Data last updated: 03/2021",12.767,12.258,11.925,13.242,14.489,13.24,12.448,11.503,10.757,10.012,2020,1.247,1.317,10,4.39,10,10,1,NA,NA
"24","Barbados","BRB",2.3,3.28571428571428,"4.1 %","Low","16.1 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,7,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,"Source: National Statistics Office Latest actual data: 2019 Employment type: National definition Primary domestic currency: Barbados dollar Data last updated: 02/2021",9.95,10.05,10.357,17.145,16.11,13.966,12.712,12.118,11.799,11.48,2019,-1.035,6.788,0,10,10,NA,NA,NA,NA
"25","Brunei Darussalam","BRN",1.5,2.14285714285714,"1.2 %","Low","6.8 %","Medium","No income support","High",0,7,7,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,"Source: National Statistics Office. Department of Economic Planning and Development, Prime Minister's office. Latest actual data: 2019 Employment type: National definition Primary domestic currency: Brunei dollar Data last updated: 03/2021",9.3,8.7,6.822,6.822,6.822,6.822,6.822,6.822,6.822,6.822,2019,0,0,0,0,0,NA,NA,NA,NA
"26","Bhutan","BTN",5.2,7.42857142857143,"-0.8 %","Medium","NO DATA",NA,"Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",7,NA,0,7.0231235193543,7.0231235193543,4.849122625124,0,-0.0953752961291401,-0.0301754749751999,0,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,"Source: Central Bank Latest actual data: 2015/16 Employment type: National definition Primary domestic currency: Bhutanese ngultrum Data last updated: 03/2021",3.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,1.41943359375,2.02776227678571
"27","Botswana","BWA",4.5,6.42857142857143,"-8.3 %","High","NO DATA",NA,"No income support","High",10,NA,7,10,3.8510272292815,1.060035310849,10,-0.7297945541437,-0.7879929378302,3.5543547112626,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Central African Republic","CAF",9.2,10,"3.5 %","Low","NO DATA",NA,"Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,NA,0,4.45194954306601,4.45194954306601,3.89415256958749,2.95235200993199,-0.609610091386799,-0.221169486082502,0.885705602979598,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.07665608723958,8.68093726748512
"29","Canada","CAN",0.4,0.571428571428571,"-5.4 %","High","9.6 %","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",10,7,3,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,"Source: National Statistics Office Latest actual data: 2020 Employment type: National definition Primary domestic currency: Canadian dollar Data last updated: 03/2021",6.383,5.908,5.733,9.6,8.002,6.521,6.206,6.378,6.484,6.5,2020,-1.598,3.867,0,10,10,NA,NA,NA,NA
