"","Countryname","Country","H_HIS_Score","H_HIS_Score_norm","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm","H_new_cases_smoothed_per_million","H_new_deaths_smoothed_per_million","H_new_cases_smoothed_per_million_norm","H_new_deaths_smoothed_per_million_norm","H_Date","H_GovernmentResponseIndex","H_GovernmentResponseIndexForDisplay","H_EconomicSupportIndex","H_EconomicSupportIndexForDisplay","H_ContainmentHealthIndex","H_ContainmentHealthIndexForDisplay","H_E1_Income.support","H_E1_Flag","H_GovernmentResponseIndexForDisplay_norm","H_EconomicSupportIndexForDisplay_norm","H_INFORM_rating.Value","H_INFORM_rating.Rating","H_covid_case_rate.Value","H_covid_case_rate.Rating","H_legal_stringency.Value","H_legal_stringency.Rating","H_international_travel.Value","H_international_travel.Rating","H_internal_movement.Value","H_internal_movement.Rating","H_stay_home.Value","H_stay_home.Rating","H_income_support.Value","H_income_support.Rating","H_debt_relief.Value","H_debt_relief.Rating","H_gdp_change.Value","H_gdp_change.Rating","H_unemployment.Value","H_unemployment.Rating","H_inflation.Value","H_inflation.Rating","H_school_close.Value","H_school_close.Rating","H_ipc_3_plus.Value","H_ipc_3_plus.Rating","H_growth_events.Value","H_growth_events.Rating","H_public_info.Value","H_public_info.Rating","H_testing_policy.Value","H_testing_policy.Rating","H_contact_trace.Value","H_contact_trace.Rating","H_growth_conflict.Value","H_growth_conflict.Rating","H_seasonal_flood.Value","H_seasonal_flood.Rating","H_seasonal_cyclone.Value","H_seasonal_cyclone.Rating","H_seasonal_exposure.Value","H_seasonal_exposure.Rating","H_ASAP_hotspot.Value","H_ASAP_hotspot.Rating","H_INFORM_severity.Value","H_INFORM_severity.Rating","H_INFORM_rating.Value_norm","H_wmo_don_alert","H_health_acaps"
"11","Burundi","BDI",22.8,9.44,0.480634920634923,4.29904534327512,0.01,0.01,0.000666666666667481,0.000666666666667481,1.286,0,0.0514399999999995,0,20210708,NA,17.19,NA,37.5,NA,14.29,NA,NA,9.66307692307692,6.25,6.5,NA,"3.3","Low","-999","High","Quarantine arrivals from high-risk regions","Medium","No measures","High","No measures","High","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","2.8 %","Low","NO DATA",NA,"7.3 %","High","Fully open","Low","755,517","Medium","NO DATA",NA,"Public officials urging caution about COVID-19","Medium","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Limited contact tracing - not done for all cases","Medium","-17.78%","Medium","0.0","Low","0.0","Low","3.4","Medium","No hotspot","Low","High","High",10,0,0
"12","Belgium","BEL",61,1.8,0.646087028050672,6.77033200025279,-50.5841174598845,34.2881192062273,0,2.28587461374849,73.514,0.284,2.94056,0.568,20210708,NA,65.62,NA,75,NA,64.29,NA,NA,2.21230769230769,2.5,2.8,NA,"46.0","Medium","80","Medium","Ban on high-risk regions","Medium","No measures","High","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","1","Medium","4.0 %","Low","6.8 %","Medium","0.4 %","Low","Partially open","Medium","NO DATA",NA,"-85.71%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"0.0","Low","0.0","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low",2,0,0
"13","Benin","BEN",28.8,8.24,0.348861309523812,2.3307998372668,-41.6666666666667,9.01563328033916,0,0.601042218689278,0.33,0.012,0.0132000000000012,0.0239999999999991,20210708,NA,39.9,NA,50,NA,38.45,NA,NA,6.16923076923077,5,5.8,NA,"0.5","Low","-999","High","Total border closure","Low","No measures","High","No measures","High","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","2","Low","5.0 %","Low","NO DATA",NA,"3.0 %","Low","Fully open","Low","281,637","Medium","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Comprehensive contact tracing - done for all cases","Low","-100.00%","Low","5.1","Medium","0.0","Low","0.2","Low","No hotspot","Low","NO CRISIS","Low",9.5,0,0
"14","Burkina Faso","BFA",30.1,7.98,0.393944047619048,3.0041812214931,-100,49.8343273691186,0,3.32228849127457,0.171,0,0.0068400000000004,0,20210708,NA,35.42,NA,50,NA,33.33,NA,NA,6.85846153846154,5,6.3,NA,"0.1","Low","-999","High","Screening","Medium","No measures","High","No measures","High","No income support","High","0","High","4.3 %","Low","NO DATA",NA,"1.9 %","Low","Fully open","Low","2,076,322","High","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","-7.26%","Medium","4.6","Medium","0.0","Low","5.8","Medium","No hotspot","Low","High","High",10,0,0
"15","Bangladesh","BGD",35,7,0.661959563411487,7.00741320436838,99.8168498168498,105.92382096042,6.65445665445666,7.06158806402801,55.785,0.946,2.2314,1.892,20210708,NA,63.96,NA,0,NA,73.1,NA,NA,2.46769230769231,10,5.2,NA,"37.3","Medium","86","Low","Quarantine arrivals from high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","No income support","High","0","High","5.0 %","Low","NO DATA",NA,"5.6 %","High","Fully open","Low","NO DATA",NA,"-68.10%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","No contact tracing","High","-57.69%","Low","10.0","High","0.0","Low","4.2","Medium","No hotspot","Low","High","High",8,0,0
"16","Bulgaria","BGR",45.6,4.88,0.687874775842601,7.39449753767835,-9.64458607599345,-25.7327021214319,0,0,9.642,1.398,0.385679999999999,2.796,20210708,NA,57.81,NA,62.5,NA,57.14,NA,NA,3.41384615384615,3.75,3.7,NA,"17.2","Low","63","Medium","Ban on high-risk regions","Medium","Recommend closing (or significantly reduce volume/route ...","Medium","Recommend not leaving house","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","1","Medium","4.4 %","Low","5.2 %","Medium","1.2 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Limited contact tracing - not done for all cases","Medium","NO DATA",NA,"2.9","Medium","0.0","Low","1.3","Low","NO DATA",NA,"NO CRISIS","Low",4.25,0,0
"17","Bahrain","BHR",39.4,6.12,0.999374637551238,10,-73.1413018640029,-68.4165580736296,0,0,81.437,1.259,3.25748,2.518,20210708,NA,72.71,NA,87.5,NA,70.6,NA,NA,1.12153846153846,1.25,3.9,NA,"382.9","High","80","Medium","Quarantine arrivals from high-risk regions","Medium","Recommend closing (or significantly reduce volume/route ...","Medium","Recommend not leaving house","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","2","Low","-5.4 %","High","5.0 %","Medium","1.5 %","Low","Partially open","Medium","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"0.1","Low","0.0","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low",4.75,0,0
"18","Bahamas","BHS",30.6,7.88,0.329463794325274,2.04106753202506,-9.25925925925926,54.9332335008045,0,3.6622155667203,137.681,2.18,5.50724,4.36,20210708,NA,66.93,NA,50,NA,69.35,NA,NA,2.01076923076923,5,3.9,NA,"87.5","Medium","80","Medium","NO DATA",NA,"NO DATA",NA,"Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","NO DATA",NA,"NO DATA",NA,"-16.3 %","High","24.0 %","High","2.0 %","Low","Partially open","Medium","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"0.1","Low","1.8","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low",4.75,0,0
"19","Bosnia and Herzegovina","BIH",42.8,5.44,0.730910163180973,8.03729852805764,-92.0444659856337,-65.8051286886019,0,0,1.089,0.087,0.0435599999999994,0.173999999999999,20210708,NA,44.9,NA,50,NA,44.17,NA,NA,5.4,5,4.1,NA,"10.6","Low","80","Medium","Screening","Medium","No measures","High","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","No income support","High","0","High","-5.5 %","High","19.0 %","Medium","1.2 %","Low","Partially open","Medium","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","No contact tracing","High","NO DATA",NA,"2.4","Medium","0.0","Low","1.4","Low","NO DATA",NA,"NO CRISIS","Low",5.25,0,0
"20","Belarus","BLR",35.3,6.94,0.539923674241733,5.18461584452701,4.56953487829354,10.4332577288873,0.304635658552902,0.695550515259155,95.698,1.073,3.82792,2.146,20210708,NA,45.42,NA,0,NA,51.9,NA,NA,5.32,10,3.8,NA,"107.1","Medium","80","Medium","Total border closure","Low","No measures","High","No measures","High","No income support","High","0","High","-0.9 %","Medium","4.5 %","Low","5.5 %","High","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","-100.00%","Low","0.0","Low","0.0","Low","1.0","Low","NO DATA",NA,"NO CRISIS","Low",4.5,0,0
"21","Belize","BLZ",31.8,7.64,0.313350869155196,1.80039572917135,-70.8333333333333,79.9827365039023,0,5.33218243359348,69.341,0.359,2.77364,0.718,20210708,NA,71.98,NA,75,NA,71.55,NA,NA,1.23384615384615,2.5,3.8,NA,"41.7","Medium","67","Medium","Screening","Medium","Require closing (or prohibit most people from using it)","Low","Recommend not leaving house","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","1.9 %","Low","23.2 %","High","0.1 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-72.73%","Low","0.0","Low","1.4","Low","0.1","Low","NO DATA",NA,"NO CRISIS","Low",4.5,0,0
"22","Bolivia","BOL",35.8,6.84,0.66753194065354,7.09064539609458,-43.3043904442104,-31.716867200396,0,0,123.153,3.671,4.92612,7.342,20210708,NA,38.96,NA,75,NA,33.81,NA,NA,6.31384615384615,2.5,4.9,NA,"223.2","High","80","Medium","Screening","Medium","Recommend closing (or significantly reduce volume/route ...","Medium","No measures","High","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","5.5 %","Low","4.0 %","Low","0.9 %","Low","Partially open","Medium","NO DATA",NA,"-40.91%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Limited contact tracing - not done for all cases","Medium","NO DATA",NA,"0.0","Low","0.0","Low","4.1","Medium","No hotspot","Low","NO CRISIS","Low",7.25,0,0
"23","Brazil","BRA",59.7,2.06,0.853033443960524,9.8614012186234,-24.563205224421,-33.3759842757432,0,0,236.503,7.039,9.46012,10,20210708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,"474.1","High","80","Medium","Screening","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","3.7 %","Low","13.2 %","Medium","4.6 %","Medium","Partially open","Medium","NO DATA",NA,"0.00%","Medium","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-4.34%","Medium","2.2","Medium","0.0","Low","4.5","Medium","NO DATA",NA,"High","High",3.75,10,0
"24","Brazil","BRA",59.7,2.06,0.853033443960524,9.8614012186234,-24.563205224421,-33.3759842757432,0,0,236.503,7.039,9.46012,10,20210708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,"474.1","High","80","Medium","Screening","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","3.7 %","Low","13.2 %","Medium","4.6 %","Medium","Partially open","Medium","NO DATA",NA,"0.00%","Medium","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-4.34%","Medium","2.2","Medium","0.0","Low","4.5","Medium","NO DATA",NA,"High","High",3.75,10,0
"25","Brazil","BRA",59.7,2.06,0.853033443960524,9.8614012186234,-24.563205224421,-33.3759842757432,0,0,236.503,7.039,9.46012,10,20210708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,"474.1","High","80","Medium","Screening","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","3.7 %","Low","13.2 %","Medium","4.6 %","Medium","Partially open","Medium","NO DATA",NA,"0.00%","Medium","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-4.34%","Medium","2.2","Medium","0.0","Low","4.5","Medium","NO DATA",NA,"High","High",3.75,10,0
"26","Brazil","BRA",59.7,2.06,0.853033443960524,9.8614012186234,-24.563205224421,-33.3759842757432,0,0,236.503,7.039,9.46012,10,20210708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,"474.1","High","80","Medium","Screening","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","3.7 %","Low","13.2 %","Medium","4.6 %","Medium","Partially open","Medium","NO DATA",NA,"0.00%","Medium","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-4.34%","Medium","2.2","Medium","0.0","Low","4.5","Medium","NO DATA",NA,"High","High",3.75,10,0
"27","Brazil","BRA",59.7,2.06,0.853033443960524,9.8614012186234,-24.563205224421,-33.3759842757432,0,0,236.503,7.039,9.46012,10,20210708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,"474.1","High","80","Medium","Screening","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","3.7 %","Low","13.2 %","Medium","4.6 %","Medium","Partially open","Medium","NO DATA",NA,"0.00%","Medium","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-4.34%","Medium","2.2","Medium","0.0","Low","4.5","Medium","NO DATA",NA,"High","High",3.75,10,0
"28","Brazil","BRA",59.7,2.06,0.853033443960524,9.8614012186234,-24.563205224421,-33.3759842757432,0,0,236.503,7.039,9.46012,10,20210708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,"474.1","High","80","Medium","Screening","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","3.7 %","Low","13.2 %","Medium","4.6 %","Medium","Partially open","Medium","NO DATA",NA,"0.00%","Medium","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-4.34%","Medium","2.2","Medium","0.0","Low","4.5","Medium","NO DATA",NA,"High","High",3.75,10,0
"29","Brazil","BRA",59.7,2.06,0.853033443960524,9.8614012186234,-24.563205224421,-33.3759842757432,0,0,236.503,7.039,9.46012,10,20210708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,"474.1","High","80","Medium","Screening","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","3.7 %","Low","13.2 %","Medium","4.6 %","Medium","Partially open","Medium","NO DATA",NA,"0.00%","Medium","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-4.34%","Medium","2.2","Medium","0.0","Low","4.5","Medium","NO DATA",NA,"High","High",3.75,10,0
"30","Brazil","BRA",59.7,2.06,0.853033443960524,9.8614012186234,-24.563205224421,-33.3759842757432,0,0,236.503,7.039,9.46012,10,20210708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,"474.1","High","80","Medium","Screening","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","3.7 %","Low","13.2 %","Medium","4.6 %","Medium","Partially open","Medium","NO DATA",NA,"0.00%","Medium","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-4.34%","Medium","2.2","Medium","0.0","Low","4.5","Medium","NO DATA",NA,"High","High",3.75,10,0
