"","Country","DSSI Participation?","Risk of external debt distress","Risk of overall debt distress","Date of DSA Publication","Potential DSSI Savings (in USD millions)","Potential DSSI Savings   (in % of  GDP)","Countryiso"
"43","Moldova","No","Low","Low","Apr-20","$27.3","0.2%","MDA"
"44","Mongolia","No","...","...","...","$67.8","0.5%","MNG"
"45","Mozambique","Yes","In distress","In distress","Apr-20","$294.2","2.0%","MOZ"
"46","Myanmar","Yes","Low","Low","Mar-20","$371.6","0.5%","MMR"
"47","Nepal","Yes","Low","Low","May-20","$18.8","0.1%","NPL"
"48","Nicaragua","No","Moderate","Moderate","Feb-20","$33.4","0.3%","NIC"
"49","Niger","Yes","Moderate","Moderate","Apr-20","$25.8","0.2%","NER"
"50","Nigeria","No","...","...","...","$107.5","0.0%","NGA"
"51","Pakistan","Yes","...","...","...","$2,705.7","1.0%","PAK"
"52","Papua New Guinea","Yes","High","High","Dec-18","$22.7","0.1%","PNG"
"53","Rwanda","No","Moderate","Moderate","Apr-20","$12.6","0.1%","RWA"
"54","Samoa","Yes","High","High","Apr-20","$9.9","1.2%","WSM"
"55","São Tomé and Príncipe","Yes","In distress","In distress","Apr-20","$2.1","0.5%","STP"
"56","Senegal","Yes","Moderate","Moderate","Apr-20","$131.7","0.6%","SEN"
"57","Sierra Leone","Yes","High","High","Dec-18","$7.0","0.2%","SLE"
"58","Solomon Islands","No","Moderate","Moderate","Feb-20","$1.5","0.1%","SLB"
"59","Somalia","No","In distress","In distress","Mar-20","...","...","SOM"
"60","South Sudan","No","In distress","In distress","Jun-19","...","...","SSD"
"61","St. Lucia","Yes","...","...","...","$4.0","0.2%","LCA"
"62","St. Vincent and the Grenadines","No","High","High","May-20","$4.0","0.5%","VCT"
"63","Tajikistan","Yes","High","High","May-20","$63.4","0.8%","TJK"
"64","Tanzania","Yes","Low","…","Jan-18","$148.9","0.2%","TZA"
"65","Timor-Leste","No","Low","Low","May-19","...","...","TLS"
"66","Togo","Yes","Moderate","High","Apr-20","$25.8","0.5%","TGO"
"67","Tonga","Yes","High","…","Jan-18","$6.0","1.4%","TON"
"68","Tuvalu","No","High","…","Jul-18","...","...","TUV"
"69","Uganda","Yes","Low","Low","May-20","$95.4","0.3%","UGA"
"70","Uzbekistan","No","Low","Low","May-20","$195.4","0.3%","UZB"
"71","Vanuatu","No","Moderate","Moderate","Jun-19","$6.5","0.7%","VUT"
"72","Yemen","Yes","...","…","...","$142.7","0.5%","YEM"
"73","Zambia","Yes","High","High","Aug-19","$139.2","0.6%","ZMB"
