Income Level,Country,Indicator,,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20
Low income,Guinea,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
Low income,Guinea,No Value,Inflation,,,,,,,,,
Low income,Guinea,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Low income,Liberia,5-30.,Inflation,,,"0,23","0,22","0,25",,,,
Low income,Liberia,5-30.,Min. Nombre d'enregistrements,,,"1,00","1,00","1,00",,,,
Low income,Liberia,>30,Inflation,"0,32","0,31",,,,,"0,30",,
Low income,Liberia,>30,Min. Nombre d'enregistrements,"1,00","1,00",,,,,"1,00",,
Low income,Liberia,No Value,Inflation,,,,,,,,,
Low income,Liberia,No Value,Min. Nombre d'enregistrements,,,,,,"1,00",,"1,00","1,00"
Low income,Madagascar,2-5.,Inflation,"0,05","0,04","0,03","0,03","0,03","0,04","0,04",,
Low income,Madagascar,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00",,
Low income,Madagascar,5-30.,Inflation,,,,,,,,,"0,06"
Low income,Madagascar,5-30.,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Low income,Madagascar,< 2.,Inflation,,,,,,,,"0,02",
Low income,Madagascar,< 2.,Min. Nombre d'enregistrements,,,,,,,,"1,00",
Low income,Malawi,5-30.,Inflation,"0,16","0,17","0,19","0,18","0,17","0,15","0,15",,
Low income,Malawi,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00",,
Low income,Malawi,No Value,Inflation,,,,,,,,,
Low income,Malawi,No Value,Min. Nombre d'enregistrements,,,,,,,,"1,00","1,00"
Low income,Mali,2-5.,Inflation,,,,,,,,"0,05",
Low income,Mali,2-5.,Min. Nombre d'enregistrements,,,,,,,,"1,00",
Low income,Mali,< 2.,Inflation,"-0,04","-0,04","-0,02","0,01","0,02","0,00","0,00",,
Low income,Mali,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00",,
Low income,Mali,No Value,Inflation,,,,,,,,,
Low income,Mali,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Low income,Mozambique,2-5.,Inflation,"0,03",,,,,,,,
Low income,Mozambique,2-5.,Min. Nombre d'enregistrements,"1,00",,,,,,,,
Low income,Mozambique,5-30.,Inflation,,"0,05","0,08","0,08","0,08","0,07","0,07",,
Low income,Mozambique,5-30.,Min. Nombre d'enregistrements,,"1,00","1,00","1,00","1,00","1,00","1,00",,
Low income,Mozambique,< 2.,Inflation,,,,,,,,"0,00",
Low income,Mozambique,< 2.,Min. Nombre d'enregistrements,,,,,,,,"1,00",
Low income,Mozambique,No Value,Inflation,,,,,,,,,
Low income,Mozambique,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Low income,Niger,2-5.,Inflation,,,,,,,"0,04",,
Low income,Niger,2-5.,Min. Nombre d'enregistrements,,,,,,,"1,00",,
Low income,Niger,< 2.,Inflation,"-0,03","-0,03","-0,03","0,00","0,00","0,01",,,
Low income,Niger,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
Low income,Niger,No Value,Inflation,,,,,,,,,
Low income,Niger,No Value,Min. Nombre d'enregistrements,,,,,,,,"1,00","1,00"
Low income,Rwanda,5-30.,Inflation,"0,14","0,24","0,24","0,22","0,27","0,24","0,19","0,14","0,14"
Low income,Rwanda,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Low income,Sierra Leone,2-5.,Inflation,,"0,04",,,,,,,
Low income,Sierra Leone,2-5.,Min. Nombre d'enregistrements,,"1,00",,,,,,,
Low income,Sierra Leone,5-30.,Inflation,"0,09",,"0,05","0,07","0,08","0,10","0,11","0,17",
Low income,Sierra Leone,5-30.,Min. Nombre d'enregistrements,"1,00",,"1,00","1,00","1,00","1,00","1,00","1,00",
Low income,Sierra Leone,No Value,Inflation,,,,,,,,,
Low income,Sierra Leone,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Low income,Somalia,2-5.,Inflation,,,"0,04","0,04",,,,,
Low income,Somalia,2-5.,Min. Nombre d'enregistrements,,,"1,00","1,00",,,,,
Low income,Somalia,5-30.,Inflation,"0,08","0,07",,,"0,06","0,11","0,08","0,06",
Low income,Somalia,5-30.,Min. Nombre d'enregistrements,"1,00","1,00",,,"1,00","1,00","1,00","1,00",
Low income,Somalia,No Value,Inflation,,,,,,,,,
Low income,Somalia,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Low income,South Sudan,5-30.,Inflation,,,,,,"0,24",,,
Low income,South Sudan,5-30.,Min. Nombre d'enregistrements,,,,,,"1,00",,,
Low income,South Sudan,>30,Inflation,"1,89","0,87","1,02","0,48","0,35",,"0,47",,
Low income,South Sudan,>30,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00",,"1,00",,
Low income,South Sudan,No Value,Inflation,,,,,,,,,
Low income,South Sudan,No Value,Min. Nombre d'enregistrements,,,,,,,,"1,00","1,00"
Low income,Sudan,>30,Inflation,,,,"0,68",,,,,
Low income,Sudan,>30,Min. Nombre d'enregistrements,,,,"1,00",,,,,
Low income,Sudan,No Value,Inflation,,,,,,,,,
Low income,Sudan,No Value,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,"1,00","1,00","1,00","1,00","1,00"
Low income,Tajikistan,5-30.,Inflation,"0,10",,"0,11","0,11","0,10","0,14","0,17","0,17",
Low income,Tajikistan,5-30.,Min. Nombre d'enregistrements,"1,00",,"1,00","1,00","1,00","1,00","1,00","1,00",
Low income,Tajikistan,No Value,Inflation,,,,,,,,,
Low income,Tajikistan,No Value,Min. Nombre d'enregistrements,,"1,00",,,,,,,"1,00"
Low income,Togo,2-5.,Inflation,,,,,,,"0,05",,
Low income,Togo,2-5.,Min. Nombre d'enregistrements,,,,,,,"1,00",,
Low income,Togo,< 2.,Inflation,"-0,01","-0,02","-0,03","-0,02","-0,01","0,02",,"0,02","-0,01"
Low income,Togo,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,"1,00","1,00"
Low income,Uganda,2-5.,Inflation,,,"0,03","0,03","0,04","0,04","0,05","0,03",
Low income,Uganda,2-5.,Min. Nombre d'enregistrements,,,"1,00","1,00","1,00","1,00","1,00","1,00",
Low income,Uganda,< 2.,Inflation,"0,00","0,01",,,,,,,"0,02"
Low income,Uganda,< 2.,Min. Nombre d'enregistrements,"1,00","1,00",,,,,,,"1,00"
Lower middle income,Algeria,< 2.,Inflation,"0,00","-0,01","0,02","-0,01","-0,01","-0,01","0,01","0,00",
Lower middle income,Algeria,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
Lower middle income,Algeria,No Value,Inflation,,,,,,,,,
Lower middle income,Algeria,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Lower middle income,Angola,5-30.,Inflation,,,,"0,20","0,21","0,22",,,
Lower middle income,Angola,5-30.,Min. Nombre d'enregistrements,,,,"1,00","1,00","1,00",,,
Lower middle income,Angola,No Value,Inflation,,,,,,,,,
Lower middle income,Angola,No Value,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,,,"1,00","1,00","1,00"
Lower middle income,Bangladesh,2-5.,Inflation,,,,,"0,05","0,05",,,
Lower middle income,Bangladesh,2-5.,Min. Nombre d'enregistrements,,,,,"1,00","1,00",,,
Lower middle income,Bangladesh,5-30.,Inflation,"0,06","0,06","0,06","0,05",,,"0,06","0,05",
Lower middle income,Bangladesh,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00",,,"1,00","1,00",
Lower middle income,Bangladesh,No Value,Inflation,,,,,,,,,
Lower middle income,Bangladesh,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Lower middle income,Benin,2-5.,Inflation,,,,,"0,04",,"0,03",,"0,03"
Lower middle income,Benin,2-5.,Min. Nombre d'enregistrements,,,,,"1,00",,"1,00",,"1,00"
Lower middle income,Benin,< 2.,Inflation,"-0,05","-0,03","-0,05","-0,03",,"-0,01",,"-0,01",
Lower middle income,Benin,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00",,"1,00",,"1,00",
Lower middle income,Bhutan,2-5.,Inflation,"0,04","0,05","0,03","0,04","0,05",,,,
Lower middle income,Bhutan,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00",,,,
Lower middle income,Bhutan,5-30.,Inflation,,,,,,"0,07","0,09",,
Lower middle income,Bhutan,5-30.,Min. Nombre d'enregistrements,,,,,,"1,00","1,00",,
Lower middle income,Bhutan,No Value,Inflation,,,,,,,,,
Lower middle income,Bhutan,No Value,Min. Nombre d'enregistrements,,,,,,,,"1,00","1,00"
Lower middle income,Bolivia,2-5.,Inflation,,,"0,02",,,"0,02","0,03",,
Lower middle income,Bolivia,2-5.,Min. Nombre d'enregistrements,,,"1,00",,,"1,00","1,00",,
Lower middle income,Bolivia,5-30.,Inflation,"0,06","0,09",,,,,,,
Lower middle income,Bolivia,5-30.,Min. Nombre d'enregistrements,"1,00","1,00",,,,,,,
Lower middle income,Bolivia,< 2.,Inflation,,,,"0,01","0,02",,,"0,00","0,01"
Lower middle income,Bolivia,< 2.,Min. Nombre d'enregistrements,,,,"1,00","1,00",,,"1,00","1,00"
Lower middle income,Cabo Verde,2-5.,Inflation,,"0,02","0,04","0,04","0,04","0,04","0,04","0,03",
Lower middle income,Cabo Verde,2-5.,Min. Nombre d'enregistrements,,"1,00","1,00","1,00","1,00","1,00","1,00","1,00",
Lower middle income,Cabo Verde,< 2.,Inflation,"0,02",,,,,,,,
Lower middle income,Cabo Verde,< 2.,Min. Nombre d'enregistrements,"1,00",,,,,,,,
Lower middle income,Cabo Verde,No Value,Inflation,,,,,,,,,
Lower middle income,Cabo Verde,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Lower middle income,Cote d`Ivoire,2-5.,Inflation,,"0,02","0,04","0,04",,,,"0,04",
Lower middle income,Cote d`Ivoire,2-5.,Min. Nombre d'enregistrements,,"1,00","1,00","1,00",,,,"1,00",
Lower middle income,Cote d`Ivoire,5-30.,Inflation,,,,,"0,06","0,06","0,06",,
Lower middle income,Cote d`Ivoire,5-30.,Min. Nombre d'enregistrements,,,,,"1,00","1,00","1,00",,
Lower middle income,Cote d`Ivoire,< 2.,Inflation,"0,01",,,,,,,,
Lower middle income,Cote d`Ivoire,< 2.,Min. Nombre d'enregistrements,"1,00",,,,,,,,
Lower middle income,Cote d`Ivoire,No Value,Inflation,,,,,,,,,
Lower middle income,Cote d`Ivoire,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Lower middle income,Djibouti,2-5.,Inflation,,,,,,,,"0,04",
Lower middle income,Djibouti,2-5.,Min. Nombre d'enregistrements,,,,,,,,"1,00",
Lower middle income,Djibouti,5-30.,Inflation,"0,06","0,07","0,07","0,06","0,06","0,06","0,05",,
Lower middle income,Djibouti,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00",,
Lower middle income,Djibouti,No Value,Inflation,,,,,,,,,
Lower middle income,Djibouti,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Lower middle income,East Timor,< 2.,Inflation,"0,01","0,01","0,00","0,00","0,00","0,00","0,01","0,01",
Lower middle income,East Timor,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
Lower middle income,East Timor,No Value,Inflation,,,,,,,,,
Lower middle income,East Timor,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Lower middle income,Egypt,2-5.,Inflation,,,,"0,03",,,,,
Lower middle income,Egypt,2-5.,Min. Nombre d'enregistrements,,,,"1,00",,,,,
Lower middle income,Egypt,< 2.,Inflation,"-0,05","-0,05","0,02",,"-0,01","-0,02","0,01","0,00","0,00"
Lower middle income,Egypt,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,"1,00","1,00","1,00","1,00","1,00"
Lower middle income,El Salvador,2-5.,Inflation,,,,,,,"0,02","0,02","0,03"
Lower middle income,El Salvador,2-5.,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00","1,00"
Lower middle income,El Salvador,< 2.,Inflation,"0,01","0,01","0,01","0,01","0,01","0,01",,,
Lower middle income,El Salvador,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
Lower middle income,Eswatini,2-5.,Inflation,"0,02","0,02","0,03","0,04","0,04","0,04",,,
Lower middle income,Eswatini,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
Lower middle income,Eswatini,No Value,Inflation,,,,,,,,,
Lower middle income,Eswatini,No Value,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00","1,00"
Lower middle income,Ghana,5-30.,Inflation,"0,07","0,08",,"0,08","0,08","0,08","0,14","0,15","0,14"
Lower middle income,Ghana,5-30.,Min. Nombre d'enregistrements,"1,00","1,00",,"1,00","1,00","1,00","1,00","1,00","1,00"
Lower middle income,Ghana,No Value,Inflation,,,,,,,,,
Lower middle income,Ghana,No Value,Min. Nombre d'enregistrements,,,"1,00",,,,,,
Lower middle income,Honduras,2-5.,Inflation,"0,03","0,02","0,03","0,03","0,03","0,04",,,
Lower middle income,Honduras,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
Lower middle income,Honduras,5-30.,Inflation,,,,,,,"0,06","0,05","0,05"
Lower middle income,Honduras,5-30.,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00","1,00"
Lower middle income,India,5-30.,Inflation,"0,08","0,10","0,14","0,14","0,11","0,09",,"0,09","0,08"
Lower middle income,India,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,"1,00","1,00"
Lower middle income,India,No Value,Inflation,,,,,,,,,
Lower middle income,India,No Value,Min. Nombre d'enregistrements,,,,,,,"1,00",,
Lower middle income,Kenya,5-30.,Inflation,"0,09","0,10",,"0,10","0,11","0,12","0,12","0,11","0,08"
Lower middle income,Kenya,5-30.,Min. Nombre d'enregistrements,"1,00","1,00",,"1,00","1,00","1,00","1,00","1,00","1,00"
Lower middle income,Kenya,No Value,Inflation,,,,,,,,,
Lower middle income,Kenya,No Value,Min. Nombre d'enregistrements,,,"1,00",,,,,,
Lower middle income,Kyrgyzstan,2-5.,Inflation,"0,05",,,,,,,,
Lower middle income,Kyrgyzstan,2-5.,Min. Nombre d'enregistrements,"1,00",,,,,,,,
Lower middle income,Kyrgyzstan,5-30.,Inflation,,"0,06","0,06","0,06","0,08","0,11","0,16","0,13","0,11"
Lower middle income,Kyrgyzstan,5-30.,Min. Nombre d'enregistrements,,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Lower middle income,Lao People`s Democratic Republic,5-30.,Inflation,"0,09","0,10","0,10","0,11","0,10","0,10","0,11","0,11",
Lower middle income,Lao People`s Democratic Republic,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
Lower middle income,Lao People`s Democratic Republic,No Value,Inflation,,,,,,,,,
Lower middle income,Lao People`s Democratic Republic,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Lower middle income,Lesotho,5-30.,Inflation,"0,08","0,07","0,07","0,06","0,06","0,05","0,09","0,10",
Lower middle income,Lesotho,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
Lower middle income,Lesotho,No Value,Inflation,,,,,,,,,
Lower middle income,Lesotho,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Lower middle income,Mauritania,2-5.,Inflation,"0,03","0,03","0,03","0,02","0,03","0,03","0,03","0,02","0,03"
Lower middle income,Mauritania,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Lower middle income,"Moldova, Republic of",5-30.,Inflation,"0,11","0,12","0,12","0,12","0,11","0,11","0,10","0,08","0,07"
Lower middle income,"Moldova, Republic of",5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Lower middle income,Mongolia,5-30.,Inflation,"0,14","0,10","0,08","0,08","0,10","0,10","0,08","0,08","0,09"
Lower middle income,Mongolia,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Lower middle income,Morocco,2-5.,Inflation,,,,,,"0,03","0,03",,
Lower middle income,Morocco,2-5.,Min. Nombre d'enregistrements,,,,,,"1,00","1,00",,
Lower middle income,Morocco,< 2.,Inflation,"0,01","-0,01","0,01","0,01","0,01",,,"0,01","0,02"
Lower middle income,Morocco,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00",,,"1,00","1,00"
Lower middle income,Myanmar,2-5.,Inflation,,,,,,"0,05","0,04",,
Lower middle income,Myanmar,2-5.,Min. Nombre d'enregistrements,,,,,,"1,00","1,00",,
Lower middle income,Myanmar,5-30.,Inflation,,,,"0,07","0,06",,,"0,07","0,07"
Lower middle income,Myanmar,5-30.,Min. Nombre d'enregistrements,,,,"1,00","1,00",,,"1,00","1,00"
Lower middle income,Myanmar,No Value,Inflation,,,,,,,,,
Lower middle income,Myanmar,No Value,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,,,,,
Lower middle income,Nepal,2-5.,Inflation,,,,,,,,"0,05",
Lower middle income,Nepal,2-5.,Min. Nombre d'enregistrements,,,,,,,,"1,00",
Lower middle income,Nepal,5-30.,Inflation,"0,07","0,06","0,07","0,10","0,10","0,07","0,08",,
Lower middle income,Nepal,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00",,
Lower middle income,Nepal,No Value,Inflation,,,,,,,,,
Lower middle income,Nepal,No Value,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Lower middle income,Nicaragua,2-5.,Inflation,,,,,,"0,04","0,04","0,03","0,04"
Lower middle income,Nicaragua,2-5.,Min. Nombre d'enregistrements,,,,,,"1,00","1,00","1,00","1,00"
Lower middle income,Nicaragua,5-30.,Inflation,"0,05","0,06","0,05","0,06","0,06",,,,
Lower middle income,Nicaragua,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00",,,,
Lower middle income,Nigeria,2-5.,Inflation,,,,,,,,"0,05","0,04"
Lower middle income,Nigeria,2-5.,Min. Nombre d'enregistrements,,,,,,,,"1,00","1,00"
Lower middle income,Nigeria,5-30.,Inflation,"0,14","0,14","0,15","0,15","0,15","0,15","0,15",,
Lower middle income,Nigeria,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00",,
Lower middle income,Pakistan,5-30.,Inflation,"0,15","0,19","0,20","0,23","0,19","0,15","0,12","0,12","0,15"
Lower middle income,Pakistan,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Lower middle income,Philippines,2-5.,Inflation,,,,"0,02","0,02","0,03","0,03","0,03","0,03"
Lower middle income,Philippines,2-5.,Min. Nombre d'enregistrements,,,,"1,00","1,00","1,00","1,00","1,00","1,00"
Lower middle income,Philippines,< 2.,Inflation,"-0,01","0,00","0,02",,,,,,
Lower middle income,Philippines,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,,,,,
Lower middle income,Senegal,2-5.,Inflation,,,,,,"0,03","0,04","0,03","0,02"
Lower middle income,Senegal,2-5.,Min. Nombre d'enregistrements,,,,,,"1,00","1,00","1,00","1,00"
Lower middle income,Senegal,< 2.,Inflation,"0,01","0,02","0,00","0,02","0,01",,,,
Lower middle income,Senegal,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00",,,,
Lower middle income,Sri Lanka,2-5.,Inflation,,"0,05",,,,,,,
Lower middle income,Sri Lanka,2-5.,Min. Nombre d'enregistrements,,"1,00",,,,,,,
Lower middle income,Sri Lanka,5-30.,Inflation,"0,07",,"0,06","0,12","0,15","0,13","0,13","0,10","0,10"
Lower middle income,Sri Lanka,5-30.,Min. Nombre d'enregistrements,"1,00",,"1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Lower middle income,"Tanzania, United Republic of",2-5.,Inflation,,,,,,,"0,05","0,04","0,04"
Lower middle income,"Tanzania, United Republic of",2-5.,Min. Nombre d'enregistrements,,,,,,,"1,00","1,00","1,00"
Lower middle income,"Tanzania, United Republic of",5-30.,Inflation,"0,05","0,06","0,06","0,06","0,06","0,05",,,
Lower middle income,"Tanzania, United Republic of",5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00",,,
Lower middle income,Tunisia,2-5.,Inflation,,,,"0,04","0,04",,,"0,05","0,04"
Lower middle income,Tunisia,2-5.,Min. Nombre d'enregistrements,,,,"1,00","1,00",,,"1,00","1,00"
Lower middle income,Tunisia,5-30.,Inflation,,,"0,06",,,"0,05","0,06",,
Lower middle income,Tunisia,5-30.,Min. Nombre d'enregistrements,,,"1,00",,,"1,00","1,00",,
Lower middle income,Tunisia,>30,Inflation,"6,60","6,30",,,,,,,
Lower middle income,Tunisia,>30,Min. Nombre d'enregistrements,"1,00","1,00",,,,,,,
Lower middle income,Ukraine,2-5.,Inflation,,,"0,05","0,03",,,"0,03","0,03","0,04"
Lower middle income,Ukraine,2-5.,Min. Nombre d'enregistrements,,,"1,00","1,00",,,"1,00","1,00","1,00"
Lower middle income,Ukraine,5-30.,Inflation,"0,08","0,07",,,,,,,
Lower middle income,Ukraine,5-30.,Min. Nombre d'enregistrements,"1,00","1,00",,,,,,,
Lower middle income,Ukraine,< 2.,Inflation,,,,,"0,02","0,02",,,
Lower middle income,Ukraine,< 2.,Min. Nombre d'enregistrements,,,,,"1,00","1,00",,,
Lower middle income,Viet Nam,5-30.,Inflation,,,,"0,11","0,09","0,10","0,05","0,05","0,05"
Lower middle income,Viet Nam,5-30.,Min. Nombre d'enregistrements,,,,"1,00","1,00","1,00","1,00","1,00","1,00"
Lower middle income,Viet Nam,< 2.,Inflation,"0,01","0,01","0,01",,,,,,
Lower middle income,Viet Nam,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00",,,,,,
Lower middle income,Zambia,5-30.,Inflation,"0,13","0,14","0,15","0,15","0,16","0,15","0,17","0,17","0,16"
Lower middle income,Zambia,5-30.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Lower middle income,Zimbabwe,>30,Inflation,"6,21","6,72","7,19","6,85","7,10","8,07","9,80","9,54","8,36"
Lower middle income,Zimbabwe,>30,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Upper middle income,Albania,2-5.,Inflation,"0,03","0,03","0,03","0,02",,"0,05","0,04","0,05","0,04"
Upper middle income,Albania,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00",,"1,00","1,00","1,00","1,00"
Upper middle income,Albania,< 2.,Inflation,,,,,"0,02",,,,
Upper middle income,Albania,< 2.,Min. Nombre d'enregistrements,,,,,"1,00",,,,
Upper middle income,Argentina,>30,Inflation,"0,52","0,55","0,57","0,59","0,54","0,51","0,51","0,49","0,47"
Upper middle income,Argentina,>30,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00"
Upper middle income,Armenia,2-5.,Inflation,,,,,,,,,"0,02"
Upper middle income,Armenia,2-5.,Min. Nombre d'enregistrements,,,,,,,,,"1,00"
Upper middle income,Armenia,< 2.,Inflation,"0,00","0,01","0,00","-0,02","-0,04","-0,03","0,00","0,01",
Upper middle income,Armenia,< 2.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","1,00",
Upper middle income,Azerbaijan,2-5.,Inflation,"0,04","0,04","0,04","0,05","0,05",,,,
Upper middle income,Azerbaijan,2-5.,Min. Nombre d'enregistrements,"1,00","1,00","1,00","1,00","1,00",,,,
Upper middle income,Azerbaijan,5-30.,Inflation,,,,,,"0,06","0,06","0,05",
Upper middle income,Azerbaijan,5-30.,Min. Nombre d'enregistrements,,,,,,"1,00","1,00","1,00",
Upper middle income,Azerbaijan,No Value,Inflation,,,,,,,,,
