Country,FSI_Score,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Change from Previous Year,,,,,,,,,,,,,,,,,,,,,,
Cameroon,97.9,8.2,9.3,8.6,6.8,7.7,7.6,8.9,8.3,7.8,8.8,8.6,7.3,0.9,,,,,,,,,,,,,,,,,,,,,,
Haiti,97.7,6.9,9.6,5.6,8.5,9.1,8.1,9.1,9.3,6.9,8.2,7.1,9.3,-1.6,,,,,,,,,,,,,,,,,,,,,,
Nigeria,97.3,8.7,9.9,9.1,7.9,7.8,6.6,8.1,8.9,8.4,9.3,6.9,5.7,-1.3,,,,,,,,,,,,,,,,,,,,,,
Guinea,97.2,8.3,9.6,9.2,8.3,7.0,6.8,9.9,9.2,6.8,8.3,7.3,6.5,-2.2,,,,,,,,,,,,,,,,,,,,,,
Mali,96.0,9.5,5.7,8.4,7.3,7.0,8.0,7.0,8.8,7.7,8.6,8.4,9.6,1.4,,,,,,,,,,,,,,,,,,,,,,
Iraq,95.9,8.2,9.6,8.5,5.6,6.4,6.8,9.1,8.4,7.8,8.1,8.6,8.8,-3.2,,,,,,,,,,,,,,,,,,,,,,
Eritrea,95.8,6.5,8.1,8.0,7.4,8.6,8.8,9.4,7.5,8.7,8.2,7.7,7.0,-0.6,,,,,,,,,,,,,,,,,,,,,,
Niger,95.3,8.8,8.9,7.8,6.8,7.7,7.3,7.0,9.2,6.9,8.7,8.4,7.8,-1.0,,,,,,,,,,,,,,,,,,,,,,
Libya,95.2,9.5,9.7,7.8,8.0,5.3,5.7,9.8,6.9,9.4,5.3,8.0,9.8,3.1,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,94.6,7.9,8.9,9.0,6.1,6.2,6.3,8.5,8.3,7.9,9.1,8.8,7.6,0.4,,,,,,,,,,,,,,,,,,,,,,
Myanmar,94.0,8.8,8.0,9.8,5.0,7.0,6.8,8.0,8.4,9.4,6.3,9.1,7.4,-0.3,,,,,,,,,,,,,,,,,,,,,,
Guinea Bissau,92.9,8.0,9.6,4.6,7.4,9.4,7.2,8.6,8.6,6.9,8.4,6.4,7.7,-2.5,,,,,,,,,,,,,,,,,,,,,,
Uganda,92.8,7.2,8.9,8.0,6.0,6.8,7.0,8.3,7.3,7.7,9.2,8.8,7.6,-2.5,,,,,,,,,,,,,,,,,,,,,,
Pakistan,92.1,8.2,9.0,9.1,7.1,5.6,6.5,7.6,7.7,7.1,7.9,7.8,8.5,-2.1,,,,,,,,,,,,,,,,,,,,,,
Congo Republic,92.1,7.3,6.7,8.1,7.8,8.4,7.1,9.1,8.6,8.1,8.0,6.7,6.2,-0.4,,,,,,,,,,,,,,,,,,,,,,
Mozambique,91.7,6.8,7.1,5.3,8.3,9.5,7.4,7.3,9.4,5.3,9.8,7.6,7.9,3.1,,,,,,,,,,,,,,,,,,,,,,
Venezuela,91.2,7.2,9.2,7.3,8.7,6.6,6.4,9.3,8.4,9.0,6.5,6.6,6.0,1.9,,,,,,,,,,,,,,,,,,,,,,
Kenya,90.3,7.7,8.6,8.3,6.5,7.3,6.9,7.9,7.7,6.5,8.3,7.4,7.2,-3.3,,,,,,,,,,,,,,,,,,,,,,
North Korea,90.2,8.3,8.5,5.5,8.6,7.2,4.1,9.9,8.3,9.4,6.8,4.1,9.5,-2.5,,,,,,,,,,,,,,,,,,,,,,
Liberia,90.0,6.9,8.3,4.9,8.3,7.5,7.2,7.1,9.0,6.2,8.5,7.8,8.4,-0.2,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,89.7,7.1,9.1,7.6,6.4,7.5,6.7,7.0,8.1,7.0,8.2,6.9,8.1,-2.3,,,,,,,,,,,,,,,,,,,,,,
Mauritania,88.7,6.6,8.8,7.3,6.8,5.9,6.6,8.0,8.4,7.2,8.5,7.6,7.1,-1.3,,,,,,,,,,,,,,,,,,,,,,
Angola,87.3,7.1,7.2,7.8,6.9,9.0,6.3,8.0,8.7,6.4,8.8,6.2,4.9,-0.5,,,,,,,,,,,,,,,,,,,,,,
Rwanda,86.0,6.1,8.0,9.9,5.9,7.8,6.8,6.9,6.5,6.3,7.5,7.8,6.6,-1.5,,,,,,,,,,,,,,,,,,,,,,
Egypt,86.0,7.9,9.1,8.6,7.6,5.4,5.3,8.6,4.2,9.7,6.2,6.4,7.0,-2.3,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,85.9,8.7,7.8,4.4,6.7,7.3,7.1,6.2,8.4,5.7,8.6,7.0,8.0,2.1,,,,,,,,,,,,,,,,,,,,,,
Togo,85.8,6.7,7.6,5.7,6.7,8.4,7.2,8.5,8.2,6.9,7.5,6.6,5.8,-1.6,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,85.7,7.3,9.3,8.3,5.8,6.0,7.3,7.3,7.2,7.0,7.1,7.6,5.5,-2.0,,,,,,,,,,,,,,,,,,,,,,
Lebanon,84.7,7.8,9.6,8.2,7.0,4.9,5.9,7.4,4.8,6.9,4.7,8.7,8.8,-0.2,,,,,,,,,,,,,,,,,,,,,,
Zambia,84.5,4.8,5.9,5.0,7.8,9.4,7.0,7.8,7.7,7.1,9.4,5.8,6.7,-1.1,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,84.4,4.1,7.8,5.9,8.3,8.0,7.7,6.0,8.5,5.2,8.8,7.1,7.0,-2.4,,,,,,,,,,,,,,,,,,,,,,
Malawi,84.0,5.1,8.1,5.0,7.7,8.1,7.1,6.6,7.9,5.6,9.4,5.7,7.7,0.6,,,,,,,,,,,,,,,,,,,,,,
Iran,83.4,7.2,9.6,9.6,7.2,5.0,5.6,9.2,3.7,9.2,4.5,5.6,7.0,0.4,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,83.0,6.2,8.2,6.6,5.7,8.0,4.6,9.8,8.4,8.3,8.2,4.8,4.1,0.4,,,,,,,,,,,,,,,,,,,,,,
Swaziland,83.0,5.4,6.8,2.5,9.5,7.9,6.7,8.6,7.2,8.5,8.6,4.3,7.0,-2.3,,,,,,,,,,,,,,,,,,,,,,
Djibouti,82.7,5.6,7.3,5.6,6.7,7.4,4.9,8.1,7.3,7.4,7.5,7.0,7.9,-2.4,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,82.7,6.5,8.3,5.6,7.2,6.5,7.3,5.8,7.6,4.4,8.9,5.7,8.9,-2.8,,,,,,,,,,,,,,,,,,,,,,
Nepal,82.6,5.6,8.8,9.7,5.3,5.8,6.1,6.3,6.3,6.8,8.1,7.5,6.2,-2.1,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,82.3,7.0,7.1,5.4,6.7,9.1,6.8,6.0,9.2,6.9,7.6,4.6,5.9,-0.7,,,,,,,,,,,,,,,,,,,,,,
Gambia,82.2,6.0,7.7,2.9,8.1,6.0,7.6,7.5,7.2,8.1,8.4,6.3,6.4,-1.7,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,81.8,7.1,9.1,9.1,5.2,6.2,7.0,6.6,4.2,8.1,5.7,7.5,6.0,-2.1,,,,,,,,,,,,,,,,,,,,,,
Comoros,81.2,6.5,8.0,4.5,7.3,7.0,6.5,7.4,7.5,5.8,7.9,5.8,7.1,-0.4,,,,,,,,,,,,,,,,,,,,,,
Philippines,81.0,9.2,8.0,7.6,4.6,4.8,5.7,7.3,5.8,7.5,7.6,6.6,6.3,-2.1,,,,,,,,,,,,,,,,,,,,,,
Cambodia,80.3,6.7,8.6,6.0,5.0,5.9,6.9,8.4,7.7,7.3,5.9,4.8,7.1,-2.3,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,79.7,5.9,8.2,5.6,6.8,8.1,6.6,5.9,7.7,4.3,7.4,4.1,9.1,-2.2,,,,,,,,,,,,,,,,,,,,,,
Madagascar,79.5,6.6,7.8,3.2,7.0,8.9,6.4,6.2,8.3,5.8,9.2,4.2,5.9,-1.5,,,,,,,,,,,,,,,,,,,,,,
Guatemala,79.2,7.1,7.1,9.4,4.8,7.2,7.2,6.4,6.7,7.0,6.9,5.1,4.3,-2.1,,,,,,,,,,,,,,,,,,,,,,
Turkey,79.1,7.5,8.8,10.0,4.6,5.0,4.4,7.5,4.4,8.3,4.6,8.7,5.4,-1.2,,,,,,,,,,,,,,,,,,,,,,
Lesotho,78.3,6.7,7.3,3.0,8.4,8.3,7.8,5.0,7.2,5.1,8.0,4.6,6.9,-1.3,,,,,,,,,,,,,,,,,,,,,,
Tanzania,78.1,5.5,5.7,4.7,5.9,6.8,7.3,6.4,8.5,6.1,8.6,5.8,6.9,-2.0,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,77.1,6.1,7.1,5.6,5.6,7.3,7.6,8.4,5.9,7.6,4.8,4.0,7.1,-1.0,,,,,,,,,,,,,,,,,,,,,,
Laos,76.9,4.7,8.3,6.9,5.1,5.6,7.1,9.0,6.1,7.0,6.4,5.4,5.2,-1.8,,,,,,,,,,,,,,,,,,,,,,
Honduras,76.8,7.2,7.0,5.0,5.8,6.8,6.4,7.0,6.5,6.9,5.6,5.4,7.2,-1.1,,,,,,,,,,,,,,,,,,,,,,
Colombia,76.6,7.2,7.6,7.2,4.8,6.5,5.3,5.8,5.6,6.5,6.5,7.9,5.7,0.9,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,75.5,6.0,8.4,6.5,6.4,4.2,5.7,9.0,4.9,8.3,7.0,3.8,5.2,-2.2,,,,,,,,,,,,,,,,,,,,,,
Jordan,75.4,5.5,6.9,8.9,6.5,4.9,4.8,6.1,3.8,7.1,5.6,8.5,6.8,-0.5,,,,,,,,,,,,,,,,,,,,,,
India,75.3,6.9,7.3,8.5,5.6,6.1,5.8,4.0,6.5,7.6,7.8,4.4,4.8,1.0,,,,,,,,,,,,,,,,,,,,,,
Israel and West Bank,75.1,6.0,8.4,10.0,3.9,5.9,4.7,5.9,3.9,6.6,5.1,7.5,7.2,-1.5,,,,,,,,,,,,,,,,,,,,,,
Bolivia,75.0,6.2,9.0,5.9,5.1,8.3,6.5,7.5,5.9,6.2,6.1,3.3,4.9,2.1,,,,,,,,,,,,,,,,,,,,,,
Algeria,74.6,6.3,7.8,7.5,6.2,5.7,5.8,8.3,5.1,6.3,4.5,7.1,4.0,-0.6,,,,,,,,,,,,,,,,,,,,,,
Senegal,74.6,5.4,7.0,5.5,6.9,7.0,7.4,3.8,7.2,5.1,7.1,6.4,5.8,-2.7,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,73.9,6.5,8.0,8.4,6.1,5.0,6.7,6.8,4.3,6.6,5.0,4.4,6.1,-2.3,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,73.1,6.5,8.8,6.3,5.5,5.9,5.2,9.4,4.1,7.6,4.8,4.7,4.3,-2.6,,,,,,,,,,,,,,,,,,,,,,
Brazil,73.0,7.1,6.2,7.3,5.2,7.1,4.2,6.7,6.9,7.0,7.8,3.6,3.9,1.2,,,,,,,,,,,,,,,,,,,,,,
Russia,72.6,8.0,8.1,8.3,4.9,5.3,3.5,8.3,3.3,8.8,4.1,4.9,5.1,-2.1,,,,,,,,,,,,,,,,,,,,,,
Benin,72.5,5.6,6.7,2.9,6.5,8.2,6.8,4.9,8.2,4.6,7.6,4.8,5.8,-1.1,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,71.3,5.9,7.9,5.6,4.4,5.2,4.3,9.1,4.5,8.0,3.7,6.8,5.9,-1.9,,,,,,,,,,,,,,,,,,,,,,
Micronesia,71.2,4.0,5.6,3.7,7.9,7.4,9.3,4.6,5.6,3.5,6.0,3.6,10.0,-1.8,,,,,,,,,,,,,,,,,,,,,,
Morocco,71.2,5.2,6.6,8.8,5.2,5.1,7.6,6.8,4.6,5.9,4.3,5.6,5.5,-1.7,,,,,,,,,,,,,,,,,,,,,,
Georgia,71.2,5.9,9.1,7.6,5.3,4.6,5.2,8.5,3.4,5.1,3.0,6.6,6.9,-0.8,,,,,,,,,,,,,,,,,,,,,,
Thailand,70.8,8.1,9.7,7.6,3.3,4.6,4.4,7.6,3.5,7.8,5.9,5.4,2.9,-2.3,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,70.3,5.0,6.3,4.2,7.9,5.7,8.2,4.7,5.6,3.0,6.4,5.1,8.2,-0.8,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,70.2,5.3,8.7,6.9,5.9,4.4,6.2,6.5,3.3,5.1,3.1,6.9,7.9,-1.1,,,,,,,,,,,,,,,,,,,,,,
South Africa,70.1,6.7,6.6,6.2,7.5,6.8,5.2,6.2,6.4,3.9,6.6,4.5,3.5,-1.0,,,,,,,,,,,,,,,,,,,,,,
China,69.9,5.8,7.2,7.4,3.9,6.4,4.3,8.8,4.8,9.3,5.6,4.0,2.4,-1.2,,,,,,,,,,,,,,,,,,,,,,
Fiji,69.9,6.8,7.9,6.0,5.6,5.4,7.9,6.0,4.1,6.0,4.1,2.9,7.2,-1.8,,,,,,,,,,,,,,,,,,,,,,
Bhutan,69.5,3.6,7.5,8.8,5.0,5.0,6.6,3.4,5.2,5.7,5.2,6.1,7.4,-2.4,,,,,,,,,,,,,,,,,,,,,,
Ecuador,69.4,6.2,8.2,6.4,5.4,6.1,4.9,6.0,5.6,3.9,5.4,5.9,5.4,-1.7,,,,,,,,,,,,,,,,,,,,,,
Gabon,69.1,5.1,8.3,2.9,5.7,5.6,5.5,7.8,6.0,7.2,6.6,3.6,4.8,-1.3,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,69.1,5.4,7.8,5.7,5.0,6.1,4.8,9.7,4.7,8.6,4.9,3.2,3.2,-2.3,,,,,,,,,,,,,,,,,,,,,,
Ukraine,69.0,7.0,8.0,5.8,6.2,3.3,5.5,7.1,4.0,6.3,3.3,4.4,8.1,-2.2,,,,,,,,,,,,,,,,,,,,,,
El Salvador,68.9,7.1,4.3,5.8,5.1,5.5,8.5,4.1,5.7,5.4,6.7,5.3,5.4,-0.9,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,68.8,6.0,8.5,8.7,3.9,4.7,3.6,8.1,2.9,8.9,4.4,4.1,5.0,-1.6,,,,,,,,,,,,,,,,,,,,,,
Tunisia,68.1,7.4,7.8,6.8,7.2,4.6,5.9,6.2,4.0,5.6,3.3,3.8,5.5,-2.1,,,,,,,,,,,,,,,,,,,,,,
Indonesia,67.8,6.1,7.1,7.4,4.2,4.9,6.6,4.2,5.1,6.7,6.8,4.5,4.3,-2.6,,,,,,,,,,,,,,,,,,,,,,
Peru,67.6,6.4,7.4,8.3,3.3,6.5,6.5,7.1,6.4,3.4,5.9,3.8,2.6,-0.6,,,,,,,,,,,,,,,,,,,,,,
Mexico,67.2,8.8,5.4,6.3,4.2,5.0,5.0,5.6,5.9,6.0,5.2,4.9,4.9,-2.4,,,,,,,,,,,,,,,,,,,,,,
Maldives,66.2,5.8,8.1,3.9,5.0,2.7,5.9,7.8,4.9,7.4,5.1,4.0,5.6,-3.5,,,,,,,,,,,,,,,,,,,,,,
Serbia,66.1,4.8,8.0,7.4,5.9,4.0,5.6,5.2,3.4,3.8,3.4,7.7,6.9,-1.9,,,,,,,,,,,,,,,,,,,,,,
Moldova,66.0,5.4,8.3,6.7,5.5,3.9,7.0,6.0,4.7,4.8,3.9,3.3,6.5,-1.2,,,,,,,,,,,,,,,,,,,,,,
Guyana,66.0,6.8,5.1,6.4,5.5,4.8,8.5,4.5,5.4,3.2,5.3,3.6,6.8,-2.2,,,,,,,,,,,,,,,,,,,,,,
Belarus,65.8,5.5,8.3,6.2,4.9,4.0,3.7,8.5,3.3,7.4,4.6,2.7,6.7,-2.4,,,,,,,,,,,,,,,,,,,,,,
Paraguay,65.2,6.2,7.8,4.9,4.6,7.0,5.3,6.5,5.3,5.4,5.0,3.0,4.1,-1.9,,,,,,,,,,,,,,,,,,,,,,
Namibia,65.1,5.1,3.5,4.9,6.9,7.6,6.5,3.0,7.1,2.9,7.9,4.2,5.5,-1.4,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,64.8,5.1,5.5,3.2,5.7,6.0,7.8,4.4,5.1,3.1,6.3,3.9,8.7,-1.8,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,64.4,6.4,6.2,4.9,4.6,5.0,6.5,6.3,6.0,5.0,6.2,2.7,4.5,-1.8,,,,,,,,,,,,,,,,,,,,,,
Armenia,64.2,5.2,7.0,5.0,6.2,3.6,6.5,6.6,3.3,6.3,2.4,6.1,6.0,-2.6,,,,,,,,,,,,,,,,,,,,,,
Ghana,64.2,4.9,4.9,3.5,5.4,6.0,7.5,3.3,6.9,4.7,6.8,4.3,6.0,-1.7,,,,,,,,,,,,,,,,,,,,,,
Bahrain,63.9,6.2,7.6,9.3,3.7,4.3,3.1,8.3,2.0,8.7,3.6,2.0,5.1,0.0,,,,,,,,,,,,,,,,,,,,,,
Vietnam,63.9,4.2,6.9,5.5,4.0,3.9,5.6,8.3,3.8,7.7,5.0,4.4,4.6,-2.2,,,,,,,,,,,,,,,,,,,,,,
Samoa,63.3,4.1,5.1,4.2,6.0,4.0,9.8,4.6,4.2,3.6,5.2,2.6,9.8,-0.9,,,,,,,,,,,,,,,,,,,,,,
Macedonia,62.1,5.0,7.3,6.3,6.1,4.6,5.5,5.4,3.8,2.9,2.2,7.2,5.8,-2.5,,,,,,,,,,,,,,,,,,,,,,
Belize,60.8,7.1,4.3,4.4,6.0,4.5,6.0,4.3,5.0,5.4,4.0,2.8,7.0,-1.7,,,,,,,,,,,,,,,,,,,,,,
Suriname,60.1,4.3,5.8,6.1,6.7,5.6,5.9,4.1,4.7,4.0,4.8,2.8,5.3,-1.8,,,,,,,,,,,,,,,,,,,,,,
Jamaica,60.0,6.9,3.7,2.5,6.2,4.2,8.9,3.9,6.2,5.5,4.1,2.9,5.0,-1.2,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,59.8,4.3,7.6,8.2,5.3,3.3,3.9,8.5,3.1,6.4,3.6,2.3,3.3,-1.8,,,,,,,,,,,,,,,,,,,,,,
Cuba,59.2,4.3,7.0,3.1,4.3,4.5,5.2,7.2,3.8,6.4,5.0,3.1,5.3,-1.6,,,,,,,,,,,,,,,,,,,,,,
Albania,58.8,5.1,6.2,4.4,5.8,2.7,8.1,5.8,3.9,3.9,3.6,2.9,6.4,-0.1,,,,,,,,,,,,,,,,,,,,,,
Malaysia,57.6,5.7,6.8,5.7,2.8,4.2,4.8,6.6,3.3,7.1,4.4,3.3,2.9,-2.9,,,,,,,,,,,,,,,,,,,,,,
Botswana,57.1,3.7,3.3,4.0,5.5,6.9,5.2,2.4,6.8,4.9,7.6,3.6,3.2,-2.4,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,56.6,4.5,7.4,6.2,3.3,7.5,4.1,7.4,1.6,7.2,2.8,1.3,3.3,-0.9,,,,,,,,,,,,,,,,,,,,,,
Cyprus,56.1,3.8,7.9,5.4,5.1,5.0,3.8,3.9,2.3,2.9,2.9,5.0,8.1,-1.8,,,,,,,,,,,,,,,,,,,,,,
Montenegro,55.5,4.9,6.5,9.0,5.0,1.5,4.4,4.1,3.4,3.7,1.9,3.7,7.4,0.3,,,,,,,,,,,,,,,,,,,,,,
Grenada,55.2,5.1,5.6,3.6,5.3,4.6,7.8,4.6,3.3,2.4,3.9,2.3,6.8,-2.4,,,,,,,,,,,,,,,,,,,,,,
Seychelles,54.7,5.7,6.0,4.2,3.6,5.6,5.6,4.6,2.2,3.9,4.2,2.3,6.7,-0.5,,,,,,,,,,,,,,,,,,,,,,
Greece,52.1,4.2,4.1,4.5,5.2,2.6,3.6,5.8,3.5,3.0,3.4,5.8,6.4,-1.9,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,52.1,5.7,3.7,3.6,4.8,4.2,6.2,4.5,3.4,4.2,4.0,2.6,5.2,-2.3,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,51.9,6.6,5.6,3.3,4.0,4.7,7.5,3.6,3.5,3.5,3.6,2.6,3.4,-1.1,,,,,,,,,,,,,,,,,,,,,,
Mongolia,51.9,3.2,5.5,2.9,4.5,5.5,4.0,3.8,4.7,4.0,4.7,2.3,6.9,-2.2,,,,,,,,,,,,,,,,,,,,,,
Kuwait,50.9,3.3,7.5,3.8,2.4,3.9,3.3,7.3,1.8,7.0,4.1,2.6,3.9,-2.3,,,,,,,,,,,,,,,,,,,,,,
Bahamas,49.9,5.2,4.5,3.2,3.9,4.2,4.1,2.7,4.3,4.3,6.8,2.7,4.0,1.1,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,49.2,4.6,5.3,4.5,4.9,3.5,4.5,3.6,3.5,3.0,3.2,4.0,4.6,-1.4,,,,,,,,,,,,,,,,,,,,,,
Oman,48.0,3.3,6.6,2.0,4.2,3.9,2.2,6.9,2.7,7.2,4.0,1.8,3.2,-1.9,,,,,,,,,,,,,,,,,,,,,,
Hungary,47.6,2.6,5.3,3.9,4.5,2.9,3.9,6.1,2.4,5.0,1.3,5.6,4.2,-2.0,,,,,,,,,,,,,,,,,,,,,,
Romania,46.7,2.4,5.7,5.9,4.1,3.3,4.9,5.3,3.3,3.3,2.3,2.3,3.9,-1.2,,,,,,,,,,,,,,,,,,,,,,
Barbados,46.4,4.7,4.2,3.2,5.4,4.3,5.6,1.6,2.5,3.4,4.3,1.6,5.7,-1.5,,,,,,,,,,,,,,,,,,,,,,
Croatia,46.1,2.9,4.4,4.9,5.0,2.4,5.2,2.2,2.6,2.9,2.6,6.1,4.8,-1.4,,,,,,,,,,,,,,,,,,,,,,
Argentina,46.1,5.2,2.8,4.1,5.4,4.9,2.9,3.9,3.3,3.6,3.3,2.0,4.6,0.1,,,,,,,,,,,,,,,,,,,,,,
Panama,46.0,5.5,2.2,5.6,2.7,6.3,4.3,2.9,4.4,3.5,3.8,2.5,2.3,-1.0,,,,,,,,,,,,,,,,,,,,,,
Qatar,43.7,1.7,5.0,3.7,1.2,4.6,1.8,6.4,1.4,6.1,2.9,1.7,7.3,-1.8,,,,,,,,,,,,,,,,,,,,,,
Chile,42.5,4.1,2.2,3.1,3.6,5.4,3.5,5.7,3.5,3.9,4.4,1.9,1.2,3.6,,,,,,,,,,,,,,,,,,,,,,
Italy,42.4,5.4,4.9,4.6,4.9,2.0,2.3,3.1,2.7,1.1,3.2,5.0,3.1,-1.4,,,,,,,,,,,,,,,,,,,,,,
Latvia,42.3,2.9,4.3,8.6,3.2,3.2,5.4,2.5,2.4,2.7,2.0,2.1,3.0,-1.6,,,,,,,,,,,,,,,,,,,,,,
Poland,41.0,2.7,4.2,5.9,3.5,2.1,4.6,4.2,2.0,3.9,2.1,2.7,3.1,-1.9,,,,,,,,,,,,,,,,,,,,,,
Spain,40.4,3.7,6.9,6.4,4.3,2.6,1.1,7.2,1.9,0.9,1.5,1.9,2.0,-0.2,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,40.2,3.8,3.8,3.3,4.6,4.4,3.8,1.5,3.2,1.2,2.5,3.4,4.6,-1.8,,,,,,,,,,,,,,,,,,,,,,
Estonia,38.5,2.6,5.9,7.7,2.8,2.3,4.6,1.8,2.0,1.4,1.9,2.2,3.4,-2.2,,,,,,,,,,,,,,,,,,,,,,
United States,38.3,3.8,6.8,6.2,1.8,3.4,1.8,2.9,1.2,3.9,3.0,2.1,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,38.3,3.8,5.8,6.4,4.4,3.7,2.5,2.9,1.6,1.8,1.6,1.7,2.0,1.7,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,38.2,1.5,5.0,6.0,3.7,2.6,4.0,4.1,2.1,2.4,1.4,2.9,2.4,-2.2,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,38.1,2.8,3.6,2.5,1.9,2.8,2.2,6.5,1.4,7.3,3.1,1.9,2.1,-2.0,,,,,,,,,,,,,,,,,,,,,,
Mauritius,37.2,1.5,3.2,4.1,4.2,2.6,4.3,2.1,2.7,3.8,2.9,2.0,3.8,-1.7,,,,,,,,,,,,,,,,,,,,,,
Lithuania,36.5,3.1,3.0,3.6,3.6,3.9,4.9,1.8,2.7,2.4,1.9,1.9,3.7,-1.6,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,35.7,2.9,5.3,4.9,3.7,1.8,3.3,4.4,1.7,2.1,0.9,2.9,1.8,-1.9,,,,,,,,,,,,,,,,,,,,,,
Malta,33.6,2.7,2.0,3.0,3.4,1.7,3.8,3.4,1.4,3.1,2.5,3.7,2.8,-1.0,,,,,,,,,,,,,,,,,,,,,,
Uruguay,33.4,4.5,2.7,2.1,3.7,3.0,3.9,0.5,2.8,2.7,2.9,2.2,2.5,-0.6,,,,,,,,,,,,,,,,,,,,,,
Japan,32.3,1.9,2.6,2.8,3.3,1.4,3.1,0.6,1.3,3.2,5.7,3.5,2.9,-2.1,,,,,,,,,,,,,,,,,,,,,,
South Korea,32.0,2.4,3.9,2.4,1.7,2.1,3.6,3.3,1.2,3.1,2.0,1.6,4.7,-1.7,,,,,,,,,,,,,,,,,,,,,,
France,30.5,3.8,1.9,6.7,3.4,3.1,2.2,1.2,1.3,1.3,1.9,2.5,1.2,-1.5,,,,,,,,,,,,,,,,,,,,,,
Belgium,27.1,2.9,4.4,4.4,3.9,1.8,2.3,1.1,1.5,0.7,1.5,2.0,0.6,-1.6,,,,,,,,,,,,,,,,,,,,,,
