"","Country","NH_INFORM_Crisis_name","NH_INFORM_Crisis_ID","NH_INFORM_CRISIS_Type","NH_INFORM_Crisis_Severity_Score","NH_INFORM_Crisis_Type_Number","NH_INFORM_Crisis_Norm"
"42","TTO","Venezuela Regional Crisis","REG002","Regional crisis",3.6,3,0
"43","ERI","Complex crisis in Eritrea","ERI001","Complex crisis",3.5,3,0
"44","SDN","Refugees in Sudan","SDN005","International displacement",3.5,3,0
"45","COL","Complex crisis in Colombia","COL001","Complex crisis",3.4,3,0
"46","PAK","Complex crisis in Pakistan","PAK001","Complex crisis",3.4,3,0
"47","PSE","Conflict in Palestine","PSE002","Conflict",3.4,3,0
"48","BGD","Rohingya Regional Crisis","REG011","Regional crisis",3.3,3,0
"49","MMR","Rohingya Regional Crisis","REG011","Regional crisis",3.3,3,0
"50","CMR","Multiple crises in Cameroon","CMR001","Multiple crises country",3.3,3,0
"51","CMR","Boko Haram in Cameroon","CMR002","Conflict",3.3,3,0
"52","COL","Venezuela displacement in Colombia","COL002","International displacement",3.3,3,0
"53","HTI","Complex crisis in Haiti","HTI001","Complex crisis",3.3,3,0
"54","UKR","Conflict in Ukraine","UKR002","Conflict",3.3,3,0
"55","ZWE","Complex crisis in Zimbabwe","ZWE001","Complex crisis",3.3,3,0
"56","KEN","Multiple crisis in Kenya","KEN001","Multiple crises country",3.2,3,0
"57","MMR","Multiple crises in Myanmar","MMR001","Multiple crises country",3.2,3,0
"58","MMR","Rakhine Conflict","MMR002","Conflict",3.2,3,0
"59","NER","Multiple crises in Niger","NER001","Multiple crises country",3.2,3,0
"60","TCD","Boko Haram in Chad","TCD003","Conflict",3.1,3,0
"61","TCD","CAR refugees in Chad","TCD004","International displacement",3.1,3,0
"62","TCD","Darfur refugees in Chad","TCD005","International displacement",3.1,3,0
"63","GTM","Complex crisis in Guatemala","GTM001","Complex crisis",3.1,3,0
"64","HND","Complex crisis in Honduras","HND001","Complex crisis",3.1,3,0
"65","KEN","Drought in Kenya","KEN003","Drought",3.1,1,10
"66","LBN","Socioeconomic crisis in Lebanon","LBN004","Political and economic crisis",3.1,3,0
"67","NER","Boko Haram in Niger","NER002","Conflict",3.1,3,0
"68","BFA","Conflict in Burkina Faso","BFA002","Conflict",3,3,0
"69","IRN","Afghan Refugees in Iran","IRN004","International displacement",3,3,0
