Outlook,Method,Aggregation,Count_Medium_Values,Dimension,Default,Name,,,,
Overall,Arithmetic Mean,Dimensional Value,Ð,Maco Fiscal,No,OVERALL_MACRO_FISCAL_AV,,,,
Overall,Arithmetic Mean,Dimensional Value,Ð,Socioeconomic Vulnerability,No,OVERALL_SOCIOECONOMIC_VULNERABILITY_AV,,,,
Overall,Arithmetic Mean,Dimensional Value,Ð,Natural Hazard,No,OVERALL_NATURAL_HAZARDS_AV,,,,
Overall,Arithmetic Mean,Dimensional Value,Ð,Conflict and Fragility,No,OVERALL_FRAGILITY_INSTITUTIONS_AV,,,,
Overall,Arithmetic Mean,Flag Count,No,All,No,OVERALL_FLAGS_AV,,,,
Overall,Arithmetic Mean,Flag Count,Yes,All,No,OVERALL_FLAGS_AV_MED,,,,
Overall,Filter: both = 10,Dimensional Value,Ð,Health,No,OVERALL_HEALTH_FILTER_10,,,,
Overall,Filter: both = 10,Dimensional Value,Ð,Food,No,OVERALL_FOOD_SECURITY_FILTER_10,,,,
Overall,Filter: both = 10,Dimensional Value,Ð,Macro,No,OVERALL_MACRO_FISCAL_FILTER_10,,,,
Overall,Filter: both = 10,Dimensional Value,Ð,Socioeconomic,No,OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_10,,,,
Overall,Filter: both = 10,Dimensional Value,Ð,Natural,No,OVERALL_NATURAL_HAZARDS_FILTER_10,,,,
Overall,Filter: both = 10,Dimensional Value,Ð,Fragility,No,OVERALL_FRAGILITY_INSTITUTIONS_FILTER_10,,,,
Overall,Filter: both = 10,Flag Count,No,All,No,OVERALL_FLAGS_FILTER_10,,,,
Overall,Filter: both = 10,Flag Count,Yes,All,No,OVERALL_FLAGS_FILTER_10_MED,,,,
Overall,Filter: both >= 7,Dimensional Value,Ð,Health,No,OVERALL_HEALTH_FILTER_7,,,,
Overall,Filter: both >= 7,Dimensional Value,Ð,Food,No,OVERALL_FOOD_SECURITY_FILTER_7,,,,
Overall,Filter: both >= 7,Dimensional Value,Ð,Macro,No,OVERALL_MACRO_FISCAL_FILTER_7,,,,
Overall,Filter: both >= 7,Dimensional Value,Ð,Socioeconomic,No,OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7,,,,
Overall,Filter: both >= 7,Dimensional Value,Ð,Natural,No,OVERALL_NATURAL_HAZARDS_FILTER_7,,,,
Overall,Filter: both >= 7,Dimensional Value,Ð,Fragility,No,OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7,,,,
Overall,Filter: both >= 7,Flag Count,No,All,No,OVERALL_FLAGS_FILTER_7,,,,
Overall,Filter: both >= 7,Flag Count,Yes,All,No,OVERALL_FLAGS_FILTER_7_MED,,,,
Overall,"Filter: high if both >= 7, medium if  one is >= 7 and one is >= 10",Dimensional Value,Ð,Fragility,No,OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7_5,,,,
Overall,"Filter: high if both >= 7, medium if  one is >= 7 and one is >= 11",Flag Count,No,All,No,OVERALL_FLAGS_FILTER_7_5,,,,
Overall,"Filter: high if both >= 7, medium if  one is >= 7 and one is >= 12",Flag Count,Yes,All,No,OVERALL_FLAGS_FILTER_7_5_MED,,,,
Overall,"Filter: high if both >= 7, medium if  one is >= 7 and one is >= 5",Dimensional Value,Ð,Health,No,OVERALL_HEALTH_FILTER_7_5,,,,
Overall,"Filter: high if both >= 7, medium if  one is >= 7 and one is >= 6",Dimensional Value,Ð,Food,No,OVERALL_FOOD_SECURITY_FILTER_7_5,,,,
Overall,"Filter: high if both >= 7, medium if  one is >= 7 and one is >= 7",Dimensional Value,Ð,Macro,No,OVERALL_MACRO_FISCAL_FILTER_7_5,,,,
Overall,"Filter: high if both >= 7, medium if  one is >= 7 and one is >= 8",Dimensional Value,Ð,Socioeconomic,No,OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7_5,,,,
Overall,"Filter: high if both >= 7, medium if  one is >= 7 and one is >= 9",Dimensional Value,Ð,Natural,No,OVERALL_NATURAL_HAZARDS_FILTER_7_5,,,,
Overall,Geometric Mean,Dimensional Value,Ð,Health,Yes,OVERALL_HEALTH_GEO,,,,Overall_Health
Overall,Geometric Mean,Dimensional Value,Ð,Food Security,Yes,OVERALL_FOOD_SECURITY_GEO,,,,Overall_Food Security
Overall,Geometric Mean,Dimensional Value,Ð,Macro Fiscal,Yes,OVERALL_MACRO_FISCAL_GEO,,,,Overall_Macro Fiscal
Overall,Geometric Mean,Dimensional Value,Ð,Socioeconomic Vulnerability,Yes,OVERALL_SOCIOECONOMIC_VULNERABILITY_GEO,,,,Overall_Socioeconomic Vulnerability
Overall,Geometric Mean,Dimensional Value,Ð,Natural Hazard,Yes,OVERALL_NATURAL_HAZARDS_GEO,,,,Overall_Natural Hazard
Overall,Geometric Mean,Dimensional Value,Ð,Conflict and Fragility,Yes,OVERALL_FRAGILITY_INSTITUTIONS_GEO,,,,Overall_Conflict and Fragility
Overall,Geometric Mean,Flag Count,No,All,No,OVERALL_FLAGS_GEO,,,,
Overall,Geometric Mean,Flag Count,Yes,All,Yes,OVERALL_FLAGS_GEO_MED,,,,Overall_Number of Overall Alert Flags
Underlying,Ð,Reliability,Ð,Ð,No,RELIABILITY_SCORE_UNDERLYING_RISK,,,,Underlying_Indicator Reliability
Emerging,Ð,Reliability,Ð,Ð,No,RELIABILITY_SCORE_EMERGING_RISK,,,,Emerging_Indicator Reliability
