"","Countryname","Country","H_HIS_Score","H_HIS_Score_norm","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm","H_new_cases_smoothed_per_million","H_new_deaths_smoothed_per_million","H_new_cases_smoothed_per_million_norm","H_new_deaths_smoothed_per_million_norm","H_Date","H_GovernmentResponseIndex","H_GovernmentResponseIndexForDisplay","H_EconomicSupportIndex","H_EconomicSupportIndexForDisplay","H_ContainmentHealthIndex","H_ContainmentHealthIndexForDisplay","H_E1_Income.support","H_E1_Flag","H_GovernmentResponseIndexForDisplay_norm","H_EconomicSupportIndexForDisplay_norm","H_INFORM_rating.Value","H_INFORM_rating.Rating","H_covid_case_rate.Value","H_covid_case_rate.Rating","H_legal_stringency.Value","H_legal_stringency.Rating","H_international_travel.Value","H_international_travel.Rating","H_internal_movement.Value","H_internal_movement.Rating","H_stay_home.Value","H_stay_home.Rating","H_income_support.Value","H_income_support.Rating","H_debt_relief.Value","H_debt_relief.Rating","H_gdp_change.Value","H_gdp_change.Rating","H_unemployment.Value","H_unemployment.Rating","H_inflation.Value","H_inflation.Rating","H_school_close.Value","H_school_close.Rating","H_ipc_3_plus.Value","H_ipc_3_plus.Rating","H_growth_events.Value","H_growth_events.Rating","H_public_info.Value","H_public_info.Rating","H_testing_policy.Value","H_testing_policy.Rating","H_contact_trace.Value","H_contact_trace.Rating","H_growth_conflict.Value","H_growth_conflict.Rating","H_seasonal_flood.Value","H_seasonal_flood.Rating","H_seasonal_cyclone.Value","H_seasonal_cyclone.Rating","H_seasonal_exposure.Value","H_seasonal_exposure.Rating","H_ASAP_hotspot.Value","H_ASAP_hotspot.Rating","H_INFORM_severity.Value","H_INFORM_severity.Rating","H_INFORM_rating.Value_norm","H_wmo_don_alert","H_health_acaps","F_Proteus_Score","F_Proteus_Score_norm","country","F_admin_code","F_year_month.x","F_year","F_month","F_pop_source","F_countrypop","F_totalipc3plusabsfor","F_totalipc3pluspercfor","F_totalipc4plusabsfor","F_totalipc4pluspercfor","F_totalipc3plusabsnow","F_totalipc3pluspercnow","F_totalipc4plusabsnow","F_totalipc4pluspercnow","F_pctchangeipc3for","F_pctchangeipc4for","F_pctchangeipc3now","F_pctchangeipc4now","F_diffactfor","F_fshighrisk","F_year_month.y","F_max_ipc","F_fews_crm_norm","F_Apr","F_May","F_June","F_Jul","F_Aug","F_Sep","F_Oct","F_Nov","F_fpv","F_fpv_rating","F_fao_wfp_warning","Fr_Countryname.x","Fr_Countryname.y","Fr_FCV_status","Fr_FCS_Normalised","Fr_month","Fr_pt_suc","Fr_pt_attempt","Fr_delayed","Fr_irreg_lead_ant","Fr_anticipation","Fr_delayed_adj","Fr_anticipation_adj","Fr_pol_trigger","Fr_REIGN_Normalised","Fr_Country.of.origin..ISO.","Fr_refugees","Fr_z_refugees","Fr_refugees_fragile","Fr_idps","Fr_z_idps","Fr_idps_fragile","Fr_z_refugees_norm","Fr_Displaced_UNHCR_Normalised","Fr_month_yr","Fr_fatal_month","Fr_fatal_month_log","Fr_fatal_3_month","Fr_fatal_3_month_log","Fr_fatal_z","Fr_sd","Fr_mean","Fr_BRD_Normalised","M_EIU_Score","M_Macroeconomic_risk_3","M_EIU_Score_12m","M_EIU_3m_change","M_EIU_12m_change","M_EIU_Score_norm","M_EIU_12m_change_norm","M_EIU_Score_12m_norm","NH_GDAC_Date","NH_GDAC_Hazard_Status","NH_GDAC_Hazard_Severity","NH_GDAC_Hazard_Type","NH_GDAC_Hazard_Score_Norm","NH_GDAC_Hazard_Score","NH_Hazard_Score","NH_Hazard_Score_norm","NH_seasonal_risk_norm","NH_locust_norm","NH_natural_acaps","S_INFORM_vul","S_INFORM_vul_norm","S_gdp_change.Value","S_gdp_change.Rating","S_unemployment.Value","S_unemployment.Rating","S_income_support.Value","S_income_support.Rating","S_gdp_change.Rating_norm","S_unemployment.Rating_norm","S_income_support.Rating_crm_norm","S_pov_comb_norm","S_pov_prop_22_21_norm","S_pov_prop_21_20_norm","S_pov_prop_20_19_norm","S_pov_prop_22_21","S_pov_prop_21_20","S_pov_prop_20_19","S_Subject.Descriptor","S_Subject.Notes","S_Units","S_Scale","S_X2017","S_X2018","S_X2019","S_X2020","S_X2021","S_X2022","S_X2023","S_X2024","S_X2025","S_Change.in.unemployement.rate.2019.to.2020","S_change_unemp_21","S_change_unemp_20","S_change_unemp_21_norm","S_change_unemp_20_norm","S_change_unemp_norm","S_Household.risks","S_Household.risks_raw","S_phone_average_index","S_phone_average_index_norm","RELIABILITY_SCORE_UNDERLYING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
"43","Zambia","ZMB",28.7,8.26,0.700848784225463,7.58828469642101,481.954567971127,533.278459510333,10,10,89.115,0.629,3.5646,1.258,20210614,NA,33.85,NA,0,NA,38.69,NA,NA,7.1,10,6.1,NA,"14.2","Low","-999","High","Screening","Medium","No measures","High","No measures","High","No income support","High","0","High","-3.5 %","High","NO DATA",NA,"16.4 %","High","Fully open","Low","1,724,243","High","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Limited contact tracing - not done for all cases","Medium","NO DATA",NA,0.9,"Low",0,"Low",2.8,"Medium","No hotspot","Low","High","High",10,0,0,0.522,8.70813397129187,"Zambia",481,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",18888478.48934,0,0,0,0,0,0,0,0,0,NA,0,NA,0,"Not high risk","2017-10-01",1,3,0.17,0.17,0.16,0.16,0.16,0.14,0.15,0.17,0.16,5,NA,"Zambia","Zambia",NA,0,6,0,0,0,0,1,0,0,"Not Fragile",0,"ZMB",261,-0.615224459448262,"Not Fragile",0,0,"Not Fragile",0,0,"Apr 2021",0,0,2,1.09861228866811,-0.525538044217413,0.810395787562987,1.52450610590599,0,65.6666666666667,65.6666666666667,65.1515151515151,0,0.51515151515153,9.18032786885246,10,8.70723603248831,NA,NA,NA,NA,NA,NA,3.5,4.16666666666667,0,0,0,6.2,8.85714285714286,"-3.5 %","High","NO DATA",NA,"No income support","High",10,NA,7,7.19085677907451,7.19085677907451,6.141927828767,6.35993591519667,-0.0618286441850984,0.228385565753399,1.907980774559,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,7.52969188690185,10,0,0.2
"44","Albania","ALB",52.9,3.42,0.864660743569811,10,-86.5481530708313,-45.2038357111624,0,0,3.971,0.099,0.15884,0.198,20210614,NA,52.5,NA,50,NA,52.86,NA,NA,4.23076923076923,5,4.2,NA,"10.3","Low","80","Medium","Ban on high-risk regions","Medium","No measures","High","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","5.0 %","Low","12.5 %","Medium","1.6 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-66.67%","Low",0,"Low",0,"Low",4.1,"Medium","NO DATA",NA,"NO CRISIS","Low",5.5,0,0,0.3,3.39712918660287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.05,0.04,0.03,0.03,0.04,0.05,0.04,0.04,3,NA,"Albania","Albania",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"ALB",15027,1.5541571734092,"Fragile",0,0,"Not Fragile",10,0,"Apr 2021",1,0.693147180559945,1,0.693147180559945,2.87685866692712,0.215576916091889,0.0729628611115732,5,39.6666666666667,46.3333333333333,46.6363636363636,-6.66666666666667,-6.96969696969697,4.0655737704918,0,4.94769874476988,NA,NA,NA,NA,NA,NA,6.4,9,0,0,0,2,2.85714285714286,"5.0 %","Low","12.5 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,7,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,13.7,12.3,11.5,11.8,11.5,11.3,11,11,11,"0.3",-0.300000000000001,0.300000000000001,0,1,1,NA,NA,NA,NA,0,0.3
"45","Antigua and Barbuda","ATG",29,8.2,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,"9.2","Low","-999","High","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"-3.0 %","High","NO DATA",NA,"1.1 %","Low","Partially open","Medium","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,0.1,"Low",0.1,"Low",0,"Low","NO DATA",NA,"NO CRISIS","Low",4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.02,0.01,NA,NA,NA,NA,NA,0.01,1,NA,"Antigua and Barbuda","Antigua and Barbuda",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"ATG",117,1.17174560191597,"Fragile",0,0,"Not Fragile",10,0,"Apr 2021",0,0,0,0,-0.370006434950477,0.234167272203225,0.0866433975699932,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,4.5,0,0,0,1.9,2.71428571428571,"-3.0 %","High","NO DATA",NA,"NO DATA",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.4
"46","Argentina","ARG",58.6,2.28,0.524652460628153,4.95651632359275,10.4972038617508,-17.288217990081,0.699813590783387,0,533.397,13.051,10,10,20210614,NA,70.94,NA,50,NA,73.93,NA,NA,1.39384615384616,5,3.4,NA,"986.4","High","80","Medium","Ban on high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","5.8 %","Low","11.4 %","Medium","42.0 %","High","Partially open","Medium","NO DATA",NA,"-30.11%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","0.00%","Medium",1.6,"Low",0,"Low",2,"Low","NO DATA",NA,"NO CRISIS","Low",3.5,0,0,0.253,2.27272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,0.5,0.47,0.46,0.45,0.41,NA,NA,0.47,7,NA,"Argentina","Argentina",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"ARG",99,-0.732713904183309,"Not Fragile",0,0,"Not Fragile",0,0,"Apr 2021",0,0,1,0.693147180559945,-1.64921507182018,0.595244645755917,1.67483362176087,0,73,73,73.5757575757576,0,-0.575757575757578,10,8.45510563380282,10,"2020","active","green","drought",0,"active - green",4,5,0,0,0,1.7,2.42857142857143,"5.8 %","Low","11.4 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,7,0,10,6.2005891879715,0,10,-0.2598821624057,-2.81834263866083,3.03547799691851,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,8.35,9.2,9.825,10.981,10.11,9.69,9.369,9.19,9.15,"1.156",-0.871,1.156,0,3.85333333333334,3.85333333333334,0,0,NA,NA,0,0.2
"47","Barbados","BRB",31.9,7.62,0.360333685250637,2.50215775769688,-100,-58.2415906762422,0,0,2.486,0,0.0994399999999995,0,20210614,66.98,66.98,50,50,69.4,69.4,1,1,2.00307692307692,5,4,NA,"17.4","Low","80","Medium","Quarantine arrivals from high-risk regions","Medium","No measures","High","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","4.1 %","Low","16.1 %","Medium","3.7 %","Medium","Partially open","Medium","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,0.1,"Low",0.1,"Low",0.5,"Low","NO DATA",NA,"NO CRISIS","Low",5,0,0,0.234,1.81818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barbados","Barbados",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"BRB",243,1.34088870175738,"Fragile",0,0,"Not Fragile",10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.3333333333333,49.3333333333333,49.3333333333333,0,0,5.9672131147541,9.29137323943663,5.49532365247354,NA,NA,NA,NA,NA,NA,3.8,4.66666666666667,0,0,0,2.3,3.28571428571428,"4.1 %","Low","16.1 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,7,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,9.95,10.05,10.357,14.853,12.8,11.822,11.502,11.183,10.863,"4.496",-2.053,4.496,0,10,10,NA,NA,NA,NA,0,0.4
"48","Bolivia","BOL",35.8,6.84,0.66753194065354,7.09064539609458,14.43849565651,5.38815560712698,0.962566377100666,0.359210373808466,242.219,6.339,9.68876,10,20210614,NA,38.96,NA,75,NA,33.81,NA,NA,6.31384615384615,2.5,4.9,NA,"312.3","High","80","Medium","Screening","Medium","Recommend closing (or significantly reduce volume/route ...","Medium","No measures","High","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","5.5 %","Low","4.0 %","Low","0.9 %","Low","Partially open","Medium","NO DATA",NA,"-30.43%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Limited contact tracing - not done for all cases","Medium","NO DATA",NA,0,"Low",0,"Low",4.1,"Medium","No hotspot","Low","NO CRISIS","Low",7.25,0,0,0.496,8.08612440191388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,0.01,0,0,NA,NA,NA,0.01,1,NA,"Bolivia","Bolivia",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"BOL",514,-0.6732111256455,"Not Fragile",0,0,"Not Fragile",0,0,"Apr 2021",0,0,1,0.693147180559945,-0.424995614528933,0.935336683115641,1.09066116899213,0,50,55,54.5454545454545,-5,-4.54545454545454,6.09836065573771,2.68926056338029,6.55365493477726,NA,NA,NA,NA,NA,NA,4.7,6.16666666666667,0,0,0,4.4,6.28571428571429,"5.5 %","Low","4.0 %","Low","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,0,0,5.20683520151657,5.03455702648345,1.3893755901296,5.20683520151657,-0.49308859470331,-0.72212488197408,1.56205056045497,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,4,4,4,8,4,4,4,4,4,"4",-4,4,0,10,10,NA,NA,4.04533398946126,5.77904855637323,0,0.3
"49","Burkina Faso","BFA",30.1,7.98,0.393944047619048,3.0041812214931,-46.1538461538462,-27.252995311686,0,0,0.041,0,0.00164000000000009,0,20210614,NA,39.06,NA,50,NA,37.5,NA,NA,6.29846153846154,5,6.3,NA,"0.2","Low","-999","High","Screening","Medium","No measures","High","No measures","High","No income support","High","0","High","4.3 %","Low","NO DATA",NA,"1.9 %","Low","Fully open","Low","2,076,322","High","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","66.67%","High",2.3,"Medium",0,"Low",5.4,"Medium","No hotspot","Low","High","High",10,10,0,0.524,8.75598086124402,"Burkina Faso",303,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",20841206.0085,0,0,0,0,0,0,0,0,0,NA,0,NA,0,"Not high risk","2017-10-01",2,5,-0.01,0.04,0.04,0.03,0.07,0.08,0.09,0.09,0.04,3,10,"Burkina Faso","Burkina Faso","Medium-Intensity conflict",10,6,0,0,0,0,0,0,0,"Not Fragile",0,"BFA",11733,1.31831772262101,"Fragile",560033,2.03427826532239,"Fragile",10,10,"Apr 2021",91,4.52178857704904,233,5.4553211153577,-0.100238312085429,1.16129946299643,5.57172781335418,4.49880843957285,34,35.3333333333333,38.8787878787879,-1.33333333333334,-4.87878787878788,2.95081967213115,2.20510563380281,3.37250799901551,NA,NA,NA,NA,NA,NA,3.7,4.5,7,0,0,6.8,9.71428571428571,"4.3 %","Low","NO DATA",NA,"No income support","High",0,NA,7,6.35530978231749,2.90853573243901,6.35530978231749,6.34366306448233,-0.918292853512199,0.271061956463498,1.9030989193447,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,2.94095897674561,4.20136996677944,0,0.1
"50","Dominica","DMA",24,9.2,0.233656034157048,0.610028405133187,NA,NA,NA,NA,1.984,0,0.0793600000000012,0,20210614,43.75,43.75,0,0,50,50,0,NA,5.57692307692308,10,4.2,NA,"13.9","Low","-999","High","Quarantine arrivals from high-risk regions","Medium","No measures","High","Recommend not leaving house","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","0","High","-0.4 %","Medium","NO DATA",NA,"1.6 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,0.1,"Low",0.1,"Low",0,"Low","NO DATA",NA,"NO CRISIS","Low",5.5,0,0,0.388,5.50239234449761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.01,NA,NA,NA,NA,NA,0.01,1,NA,"Dominica","Dominica",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"DMA",50,1.59956569126811,"Fragile",0,0,"Not Fragile",10,0,"Apr 2021",0,0,0,0,-0.434613493680177,0.265809809803872,0.115524530093324,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,6.5,0,0,0,3.6,5.14285714285714,"-0.4 %","Medium","NO DATA",NA,"Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",7,NA,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4
"51","Egypt","EGY",39.9,6.02,0.622563454189215,6.41897053912513,-19.8532681191641,-27.9446822364147,0,0,7.273,0.378,0.29092,0.756,20210614,NA,45.62,NA,75,NA,41.43,NA,NA,5.28923076923077,2.5,3.6,NA,"15.6","Low","-999","High","Screening","Medium","No measures","High","Recommend not leaving house","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","2.5 %","Low","8.3 %","Medium","5.7 %","High","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-30.43%","Low",0,"Low",0,"Low",3.1,"Medium","No hotspot","Low","High","High",4,0,0,0.233,1.79425837320574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Egypt","Egypt",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"EGY",27506,1.41624140077697,"Fragile",0,0,"Not Fragile",10,0,"Apr 2021",21,3.09104245335832,81,4.40671924726425,-2.22737096210295,0.406886402730434,5.31300620558055,0,52,51.3333333333333,53.2727272727273,0.666666666666664,-1.27272727272727,6.49180327868853,7.44278169014085,6.29522520305193,NA,NA,NA,NA,NA,NA,4.9,6.5,0,0,0,3.5,5,"2.5 %","Low","8.3 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,7,0,6.5277792630415,6.5277792630415,5.4681588244008,0.598338587962832,-0.1944441473917,0.0936317648801603,0.17950157638885,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,12.245,10.932,8.612,8.296,9.664,9.687,9.51,9.33,8.983,"-0.316",1.368,-0.316000000000001,10,0,10,7,0.5,NA,NA,0,0.4
"52","El Salvador","SLV",44.2,5.16,0.553853458925469,5.39267902100252,-14.5901047309498,-20.1149869014765,0,0,26.65,0.551,1.066,1.102,20210614,NA,37.81,NA,25,NA,39.64,NA,NA,6.49076923076923,7.5,4.2,NA,"34.3","Medium","46","Medium","Ban on high-risk regions","Medium","Recommend closing (or significantly reduce volume/route ...","Medium","Recommend not leaving house","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","4.2 %","Low","9.5 %","Medium","0.2 %","Low","Partially open","Medium","1,043,661","High","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","No contact tracing","High","23.33%","High",1.2,"Low",1.2,"Low",3.3,"Medium","No hotspot","Low","Medium","Medium",5.5,0,0,0.366,4.97607655502392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.02,0.03,0.03,0.02,0.01,0.01,0.01,0.03,3,10,"El Salvador","El Salvador",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"SLV",41850,1.51927279010678,"Fragile",71500,0.912862417558222,"Not Fragile",10,9.12862417558222,"Apr 2021",27,3.3322045101752,109,4.70048036579242,-0.527275286019244,0.526147045243997,4.97790469956163,2.36362356990378,32.3333333333333,32.3333333333333,35.5151515151515,0,-3.18181818181818,2.62295081967213,4.66989436619719,2.68951513659857,NA,NA,NA,NA,NA,NA,6.5,9.16666666666667,0,0,0,4.4,6.28571428571429,"4.2 %","Low","9.5 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,7,0,6.3078316562324,6.3078316562324,3.4456102608951,2.41290228279977,-0.23843366875352,-0.31087794782098,0.72387068483993,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,7.049,6.347,6.733,9.39,9.5,8.2,7.5,7,7,"2.657",0.109999999999999,2.657,1.09999999999999,8.85666666666667,8.85666666666667,NA,NA,2.53053023020426,3.61504318600609,0,0.2
