Index,Countryname,Country,Data Level,Outlook,Dimension,Key,Value,Value_Char,Risk Label,Display Status,Overall Contribution
68,Angola,AGO,Dimension Value,Underlying,Macro Fiscal,Macro Fiscal,10,10,High,Main,FALSE
69,Angola,AGO,Indicator,Underlying,Macro Fiscal,Operational Risk Score,10,10,10,Secondary,TRUE
70,Angola,AGO,Dimension Value,Underlying,Natural Hazard,Natural Hazard,3,3,Low,Main,FALSE
71,Angola,AGO,Indicator,Underlying,Natural Hazard,INFORM Natural Multi-hazard Rating,3,3,3,Secondary,TRUE
72,Angola,AGO,Dimension Value,Underlying,Socioeconomic Vulnerability,Socioeconomic Vulnerability,8,8,Medium,Main,FALSE
73,Angola,AGO,Indicator,Underlying,Socioeconomic Vulnerability,INFORM Socio-economic Vulnerability Index,8,8,8,Secondary,TRUE
74,Angola,AGO,Flag Count,Emerging,Flag,Number of Flags,3,3,3,Main,FALSE
75,Angola,AGO,Dimension Value,Emerging,Food Security,Food Security,10,10,High,Main,FALSE
76,Angola,AGO,Indicator,Emerging,Food Security,FAO WFP Warning,10,10,10,Secondary,TRUE
77,Angola,AGO,Indicator,Emerging,Food Security,FEWS NET Score,NA,NA,NA,Secondary,TRUE
78,Angola,AGO,Indicator,Emerging,Food Security,Food Price Inflation (Secondary Indicator),5,5,5,Secondary,TRUE
79,Angola,AGO,Dimension Value,Emerging,Conflict and Fragility,Conflict and Fragility,6,6,Low,Main,FALSE
80,Angola,AGO,Indicator,Emerging,Conflict and Fragility,Political Fatalities,6,6,6,Secondary,TRUE
81,Angola,AGO,Indicator,Emerging,Conflict and Fragility,Forcibly Displaced People,0,0,0,Secondary,TRUE
82,Angola,AGO,Indicator,Emerging,Conflict and Fragility,Political Disturbance,0,0,0,Secondary,TRUE
83,Angola,AGO,Dimension Value,Emerging,Health,Health,6,6,Low,Main,FALSE
84,Angola,AGO,Indicator,Emerging,Health,"Covid Growth, Cases (biweekly)",0,0,0,Secondary,TRUE
85,Angola,AGO,Indicator,Emerging,Health,"Covid Growth, Deaths (biweekly)",0,0,0,Secondary,TRUE
86,Angola,AGO,Indicator,Emerging,Health,Oxford Gov Response Index,6,6,6,Secondary,TRUE
87,Angola,AGO,Indicator,Emerging,Health,ACAPS Health Crisis Tracker,0,0,0,Secondary,TRUE
88,Angola,AGO,Indicator,Emerging,Health,New Covid Cases per 1M,0,0,0,Secondary,TRUE
89,Angola,AGO,Indicator,Emerging,Health,New Covid Deaths per 1M,0,0,0,Secondary,TRUE
90,Angola,AGO,Indicator,Emerging,Health,Oxford Lockdown Rollback Index,4,4,4,Secondary,TRUE
91,Angola,AGO,Indicator,Emerging,Health,WHO Disease Outbreak News,0,0,0,Secondary,TRUE
92,Angola,AGO,Dimension Value,Emerging,Macro Fiscal,Macro Fiscal,9,9,Medium,Main,FALSE
93,Angola,AGO,Indicator,Emerging,Macro Fiscal,Operational Risk Score,9,9,9,Secondary,TRUE
94,Angola,AGO,Dimension Value,Emerging,Natural Hazard,Natural Hazard,10,10,High,Main,FALSE
95,Angola,AGO,Indicator,Emerging,Natural Hazard,GDACS Live Hazard Tracker,10,10,10,Secondary,TRUE
96,Angola,AGO,Indicator,Emerging,Natural Hazard,Locust Threat Level,0,0,0,Secondary,TRUE
97,Angola,AGO,Indicator,Emerging,Natural Hazard,INFORM Severity,0,0,0,Secondary,TRUE
98,Angola,AGO,Indicator,Emerging,Natural Hazard,Seasonal Forecast Index,0,0,0,Secondary,TRUE
99,Angola,AGO,Dimension Value,Emerging,Socioeconomic Vulnerability,Socioeconomic Vulnerability,9,9,Medium,Main,FALSE
100,Angola,AGO,Indicator,Emerging,Socioeconomic Vulnerability,"Unemployment Rate, % Change",NA,NA,NA,Secondary,TRUE
101,Angola,AGO,Indicator,Emerging,Socioeconomic Vulnerability,MFRI Household Level Risk,0,0,0,Secondary,TRUE
102,Angola,AGO,Indicator,Emerging,Socioeconomic Vulnerability,Income Support,7,7,7,Secondary,TRUE
103,Angola,AGO,Indicator,Emerging,Socioeconomic Vulnerability,COVID Phone Survey Index,NA,NA,NA,Secondary,TRUE
104,Angola,AGO,Indicator,Emerging,Socioeconomic Vulnerability,"People Below $1.90 Poverty Line, % Change",9,9,9,Secondary,TRUE
105,Albania,ALB,Flag Count,Overall,Flag,Number of Flags,1.5,1.5,1,Main,TRUE
106,Albania,ALB,Dimension Value,Overall,Food Security,Food Security,3,3,Low,Main,TRUE
107,Albania,ALB,Dimension Value,Overall,Conflict and Fragility,Conflict and Fragility,0,0,Low,Main,TRUE
108,Albania,ALB,Dimension Value,Overall,Health,Health,7,7,High,Main,TRUE
109,Albania,ALB,Dimension Value,Overall,Macro Fiscal,Macro Fiscal,0,0,Low,Main,TRUE
110,Albania,ALB,Dimension Value,Overall,Natural Hazard,Natural Hazard,0,0,Low,Main,TRUE
111,Albania,ALB,Dimension Value,Overall,Socioeconomic Vulnerability,Socioeconomic Vulnerability,5,5,Medium,Main,TRUE
112,Albania,ALB,Flag Count,Underlying,Flag,Number of Flags,0.5,0.5,0,Main,FALSE
113,Albania,ALB,Dimension Value,Underlying,Food Security,Food Security,3,3,Low,Main,FALSE
114,Albania,ALB,Indicator,Underlying,Food Security,Proteus Composite Index,3,3,3,Secondary,TRUE
115,Albania,ALB,Dimension Value,Underlying,Conflict and Fragility,Conflict and Fragility,0,0,Low,Main,FALSE
116,Albania,ALB,Indicator,Underlying,Conflict and Fragility,FCS,0,0,0,Secondary,TRUE
117,Albania,ALB,Dimension Value,Underlying,Health,Health,5,5,Low,Main,FALSE
118,Albania,ALB,Indicator,Underlying,Health,Global Health Security Index,3,3,3,Secondary,TRUE
119,Albania,ALB,Indicator,Underlying,Health,INFORM Rating,5,5,5,Secondary,TRUE
120,Albania,ALB,Dimension Value,Underlying,Macro Fiscal,Macro Fiscal,4,4,Low,Main,FALSE
121,Albania,ALB,Indicator,Underlying,Macro Fiscal,Operational Risk Score,4,4,4,Secondary,TRUE
122,Albania,ALB,Dimension Value,Underlying,Natural Hazard,Natural Hazard,9,9,Medium,Main,FALSE
123,Albania,ALB,Indicator,Underlying,Natural Hazard,INFORM Natural Multi-hazard Rating,9,9,9,Secondary,TRUE
124,Albania,ALB,Dimension Value,Underlying,Socioeconomic Vulnerability,Socioeconomic Vulnerability,2,2,Low,Main,FALSE
125,Albania,ALB,Indicator,Underlying,Socioeconomic Vulnerability,INFORM Socio-economic Vulnerability Index,2,2,2,Secondary,TRUE
126,Albania,ALB,Flag Count,Emerging,Flag,Number of Flags,2,2,2,Main,FALSE
127,Albania,ALB,Dimension Value,Emerging,Food Security,Food Security,3,3,Low,Main,FALSE
128,Albania,ALB,Indicator,Emerging,Food Security,FAO WFP Warning,NA,NA,NA,Secondary,TRUE
129,Albania,ALB,Indicator,Emerging,Food Security,FEWS NET Score,NA,NA,NA,Secondary,TRUE
130,Albania,ALB,Indicator,Emerging,Food Security,Food Price Inflation (Secondary Indicator),3,3,3,Secondary,TRUE
131,Albania,ALB,Dimension Value,Emerging,Conflict and Fragility,Conflict and Fragility,5,5,Low,Main,FALSE
132,Albania,ALB,Indicator,Emerging,Conflict and Fragility,Political Fatalities,5,5,5,Secondary,TRUE
133,Albania,ALB,Indicator,Emerging,Conflict and Fragility,Forcibly Displaced People,0,0,0,Secondary,TRUE
134,Albania,ALB,Indicator,Emerging,Conflict and Fragility,Political Disturbance,0,0,0,Secondary,TRUE
135,Albania,ALB,Dimension Value,Emerging,Health,Health,10,10,High,Main,FALSE
136,Albania,ALB,Indicator,Emerging,Health,"Covid Growth, Cases (biweekly)",4,4,4,Secondary,TRUE
137,Albania,ALB,Indicator,Emerging,Health,"Covid Growth, Deaths (biweekly)",0,0,0,Secondary,TRUE
138,Albania,ALB,Indicator,Emerging,Health,Oxford Gov Response Index,4,4,4,Secondary,TRUE
139,Albania,ALB,Indicator,Emerging,Health,ACAPS Health Crisis Tracker,0,0,0,Secondary,TRUE
140,Albania,ALB,Indicator,Emerging,Health,New Covid Cases per 1M,0,0,0,Secondary,TRUE
141,Albania,ALB,Indicator,Emerging,Health,New Covid Deaths per 1M,0,0,0,Secondary,TRUE
142,Albania,ALB,Indicator,Emerging,Health,Oxford Lockdown Rollback Index,10,10,10,Secondary,TRUE
143,Albania,ALB,Indicator,Emerging,Health,WHO Disease Outbreak News,0,0,0,Secondary,TRUE
144,Albania,ALB,Dimension Value,Emerging,Macro Fiscal,Macro Fiscal,0,0,Low,Main,FALSE
145,Albania,ALB,Indicator,Emerging,Macro Fiscal,Operational Risk Score,0,0,0,Secondary,TRUE
146,Albania,ALB,Dimension Value,Emerging,Natural Hazard,Natural Hazard,0,0,Low,Main,FALSE
147,Albania,ALB,Indicator,Emerging,Natural Hazard,GDACS Live Hazard Tracker,NA,NA,NA,Secondary,TRUE
148,Albania,ALB,Indicator,Emerging,Natural Hazard,Locust Threat Level,0,0,0,Secondary,TRUE
149,Albania,ALB,Indicator,Emerging,Natural Hazard,INFORM Severity,0,0,0,Secondary,TRUE
150,Albania,ALB,Indicator,Emerging,Natural Hazard,Seasonal Forecast Index,0,0,0,Secondary,TRUE
151,Albania,ALB,Dimension Value,Emerging,Socioeconomic Vulnerability,Socioeconomic Vulnerability,10,10,High,Main,FALSE
152,Albania,ALB,Indicator,Emerging,Socioeconomic Vulnerability,"Unemployment Rate, % Change",10,10,10,Secondary,TRUE
153,Albania,ALB,Indicator,Emerging,Socioeconomic Vulnerability,MFRI Household Level Risk,NA,NA,NA,Secondary,TRUE
154,Albania,ALB,Indicator,Emerging,Socioeconomic Vulnerability,Income Support,0,0,0,Secondary,TRUE
155,Albania,ALB,Indicator,Emerging,Socioeconomic Vulnerability,COVID Phone Survey Index,NA,NA,NA,Secondary,TRUE
156,Albania,ALB,Indicator,Emerging,Socioeconomic Vulnerability,"People Below $1.90 Poverty Line, % Change",NA,NA,NA,Secondary,TRUE
157,United Arab Emirates,ARE,Flag Count,Overall,Flag,Number of Flags,0.5,0.5,0,Main,TRUE
158,United Arab Emirates,ARE,Dimension Value,Overall,Food Security,Food Security,2,2,Low,Main,TRUE
159,United Arab Emirates,ARE,Dimension Value,Overall,Conflict and Fragility,Conflict and Fragility,0,0,Low,Main,TRUE
160,United Arab Emirates,ARE,Dimension Value,Overall,Health,Health,6,6,Medium,Main,TRUE
161,United Arab Emirates,ARE,Dimension Value,Overall,Macro Fiscal,Macro Fiscal,0,0,Low,Main,TRUE
162,United Arab Emirates,ARE,Dimension Value,Overall,Natural Hazard,Natural Hazard,0,0,Low,Main,TRUE
163,United Arab Emirates,ARE,Dimension Value,Overall,Socioeconomic Vulnerability,Socioeconomic Vulnerability,1,1,Low,Main,TRUE
164,United Arab Emirates,ARE,Flag Count,Underlying,Flag,Number of Flags,0,0,0,Main,FALSE
165,United Arab Emirates,ARE,Dimension Value,Underlying,Food Security,Food Security,1,1,Low,Main,FALSE
166,United Arab Emirates,ARE,Indicator,Underlying,Food Security,Proteus Composite Index,1,1,1,Secondary,TRUE
167,United Arab Emirates,ARE,Dimension Value,Underlying,Conflict and Fragility,Conflict and Fragility,0,0,Low,Main,FALSE
168,United Arab Emirates,ARE,Indicator,Underlying,Conflict and Fragility,FCS,0,0,0,Secondary,TRUE
169,United Arab Emirates,ARE,Dimension Value,Underlying,Health,Health,4,4,Low,Main,FALSE
170,United Arab Emirates,ARE,Indicator,Underlying,Health,Global Health Security Index,4,4,4,Secondary,TRUE
171,United Arab Emirates,ARE,Indicator,Underlying,Health,INFORM Rating,1,1,1,Secondary,TRUE
172,United Arab Emirates,ARE,Dimension Value,Underlying,Macro Fiscal,Macro Fiscal,3,3,Low,Main,FALSE
173,United Arab Emirates,ARE,Indicator,Underlying,Macro Fiscal,Operational Risk Score,3,3,3,Secondary,TRUE
174,United Arab Emirates,ARE,Dimension Value,Underlying,Natural Hazard,Natural Hazard,5,5,Low,Main,FALSE
175,United Arab Emirates,ARE,Indicator,Underlying,Natural Hazard,INFORM Natural Multi-hazard Rating,5,5,5,Secondary,TRUE
176,United Arab Emirates,ARE,Dimension Value,Underlying,Socioeconomic Vulnerability,Socioeconomic Vulnerability,0,0,Low,Main,FALSE
177,United Arab Emirates,ARE,Indicator,Underlying,Socioeconomic Vulnerability,INFORM Socio-economic Vulnerability Index,0,0,0,Secondary,TRUE
178,United Arab Emirates,ARE,Flag Count,Emerging,Flag,Number of Flags,1.5,1.5,1,Main,FALSE
179,United Arab Emirates,ARE,Dimension Value,Emerging,Food Security,Food Security,5,5,Low,Main,FALSE
180,United Arab Emirates,ARE,Indicator,Emerging,Food Security,FAO WFP Warning,NA,NA,NA,Secondary,TRUE
181,United Arab Emirates,ARE,Indicator,Emerging,Food Security,FEWS NET Score,NA,NA,NA,Secondary,TRUE
182,United Arab Emirates,ARE,Indicator,Emerging,Food Security,Food Price Inflation (Secondary Indicator),5,5,5,Secondary,TRUE
183,United Arab Emirates,ARE,Dimension Value,Emerging,Conflict and Fragility,Conflict and Fragility,0,0,Low,Main,FALSE
184,United Arab Emirates,ARE,Indicator,Emerging,Conflict and Fragility,Political Fatalities,NA,NA,NA,Secondary,TRUE
185,United Arab Emirates,ARE,Indicator,Emerging,Conflict and Fragility,Forcibly Displaced People,0,0,0,Secondary,TRUE
186,United Arab Emirates,ARE,Indicator,Emerging,Conflict and Fragility,Political Disturbance,0,0,0,Secondary,TRUE
187,United Arab Emirates,ARE,Dimension Value,Emerging,Health,Health,10,10,High,Main,FALSE
188,United Arab Emirates,ARE,Indicator,Emerging,Health,"Covid Growth, Cases (biweekly)",0,0,0,Secondary,TRUE
189,United Arab Emirates,ARE,Indicator,Emerging,Health,"Covid Growth, Deaths (biweekly)",0,0,0,Secondary,TRUE
190,United Arab Emirates,ARE,Indicator,Emerging,Health,Oxford Gov Response Index,2,2,2,Secondary,TRUE
191,United Arab Emirates,ARE,Indicator,Emerging,Health,ACAPS Health Crisis Tracker,0,0,0,Secondary,TRUE
192,United Arab Emirates,ARE,Indicator,Emerging,Health,New Covid Cases per 1M,6,6,6,Secondary,TRUE
193,United Arab Emirates,ARE,Indicator,Emerging,Health,New Covid Deaths per 1M,0,0,0,Secondary,TRUE
194,United Arab Emirates,ARE,Indicator,Emerging,Health,Oxford Lockdown Rollback Index,10,10,10,Secondary,TRUE
195,United Arab Emirates,ARE,Indicator,Emerging,Health,WHO Disease Outbreak News,10,10,10,Secondary,TRUE
196,United Arab Emirates,ARE,Dimension Value,Emerging,Macro Fiscal,Macro Fiscal,0,0,Low,Main,FALSE
197,United Arab Emirates,ARE,Indicator,Emerging,Macro Fiscal,Operational Risk Score,0,0,0,Secondary,TRUE
198,United Arab Emirates,ARE,Dimension Value,Emerging,Natural Hazard,Natural Hazard,0,0,Low,Main,FALSE
199,United Arab Emirates,ARE,Indicator,Emerging,Natural Hazard,GDACS Live Hazard Tracker,NA,NA,NA,Secondary,TRUE
200,United Arab Emirates,ARE,Indicator,Emerging,Natural Hazard,Locust Threat Level,0,0,0,Secondary,TRUE
201,United Arab Emirates,ARE,Indicator,Emerging,Natural Hazard,INFORM Severity,0,0,0,Secondary,TRUE
202,United Arab Emirates,ARE,Indicator,Emerging,Natural Hazard,Seasonal Forecast Index,0,0,0,Secondary,TRUE
203,United Arab Emirates,ARE,Dimension Value,Emerging,Socioeconomic Vulnerability,Socioeconomic Vulnerability,7,7,Medium,Main,FALSE
204,United Arab Emirates,ARE,Indicator,Emerging,Socioeconomic Vulnerability,"Unemployment Rate, % Change",NA,NA,NA,Secondary,TRUE
205,United Arab Emirates,ARE,Indicator,Emerging,Socioeconomic Vulnerability,MFRI Household Level Risk,NA,NA,NA,Secondary,TRUE
206,United Arab Emirates,ARE,Indicator,Emerging,Socioeconomic Vulnerability,Income Support,7,7,7,Secondary,TRUE
207,United Arab Emirates,ARE,Indicator,Emerging,Socioeconomic Vulnerability,COVID Phone Survey Index,NA,NA,NA,Secondary,TRUE
208,United Arab Emirates,ARE,Indicator,Emerging,Socioeconomic Vulnerability,"People Below $1.90 Poverty Line, % Change",NA,NA,NA,Secondary,TRUE
209,Argentina,ARG,Flag Count,Overall,Flag,Number of Flags,1.5,1.5,1,Main,TRUE
210,Argentina,ARG,Dimension Value,Overall,Food Security,Food Security,3,3,Low,Main,TRUE
211,Argentina,ARG,Dimension Value,Overall,Conflict and Fragility,Conflict and Fragility,0,0,Low,Main,TRUE
212,Argentina,ARG,Dimension Value,Overall,Health,Health,5,5,Medium,Main,TRUE
213,Argentina,ARG,Dimension Value,Overall,Macro Fiscal,Macro Fiscal,9,9,High,Main,TRUE
214,Argentina,ARG,Dimension Value,Overall,Natural Hazard,Natural Hazard,0,0,Low,Main,TRUE
215,Argentina,ARG,Dimension Value,Overall,Socioeconomic Vulnerability,Socioeconomic Vulnerability,4,4,Low,Main,TRUE
216,Argentina,ARG,Flag Count,Underlying,Flag,Number of Flags,1,1,1,Main,FALSE
217,Argentina,ARG,Dimension Value,Underlying,Food Security,Food Security,2,2,Low,Main,FALSE
218,Argentina,ARG,Indicator,Underlying,Food Security,Proteus Composite Index,2,2,2,Secondary,TRUE
219,Argentina,ARG,Dimension Value,Underlying,Conflict and Fragility,Conflict and Fragility,0,0,Low,Main,FALSE
220,Argentina,ARG,Indicator,Underlying,Conflict and Fragility,FCS,0,0,0,Secondary,TRUE
221,Argentina,ARG,Dimension Value,Underlying,Health,Health,3,3,Low,Main,FALSE
222,Argentina,ARG,Indicator,Underlying,Health,Global Health Security Index,2,2,2,Secondary,TRUE
223,Argentina,ARG,Indicator,Underlying,Health,INFORM Rating,3,3,3,Secondary,TRUE
224,Argentina,ARG,Dimension Value,Underlying,Macro Fiscal,Macro Fiscal,10,10,High,Main,FALSE
225,Argentina,ARG,Indicator,Underlying,Macro Fiscal,Operational Risk Score,10,10,10,Secondary,TRUE
226,Argentina,ARG,Dimension Value,Underlying,Natural Hazard,Natural Hazard,5,5,Low,Main,FALSE
227,Argentina,ARG,Indicator,Underlying,Natural Hazard,INFORM Natural Multi-hazard Rating,5,5,5,Secondary,TRUE
228,Argentina,ARG,Dimension Value,Underlying,Socioeconomic Vulnerability,Socioeconomic Vulnerability,2,2,Low,Main,FALSE
229,Argentina,ARG,Indicator,Underlying,Socioeconomic Vulnerability,INFORM Socio-economic Vulnerability Index,2,2,2,Secondary,TRUE
230,Argentina,ARG,Flag Count,Emerging,Flag,Number of Flags,3,3,3,Main,FALSE
231,Argentina,ARG,Dimension Value,Emerging,Food Security,Food Security,7,7,Medium,Main,FALSE
232,Argentina,ARG,Indicator,Emerging,Food Security,FAO WFP Warning,NA,NA,NA,Secondary,TRUE
233,Argentina,ARG,Indicator,Emerging,Food Security,FEWS NET Score,NA,NA,NA,Secondary,TRUE
234,Argentina,ARG,Indicator,Emerging,Food Security,Food Price Inflation (Secondary Indicator),7,7,7,Secondary,TRUE
235,Argentina,ARG,Dimension Value,Emerging,Conflict and Fragility,Conflict and Fragility,0,0,Low,Main,FALSE
236,Argentina,ARG,Indicator,Emerging,Conflict and Fragility,Political Fatalities,0,0,0,Secondary,TRUE
237,Argentina,ARG,Indicator,Emerging,Conflict and Fragility,Forcibly Displaced People,0,0,0,Secondary,TRUE
238,Argentina,ARG,Indicator,Emerging,Conflict and Fragility,Political Disturbance,0,0,0,Secondary,TRUE
239,Argentina,ARG,Dimension Value,Emerging,Health,Health,10,10,High,Main,FALSE
240,Argentina,ARG,Indicator,Emerging,Health,"Covid Growth, Cases (biweekly)",0,0,0,Secondary,TRUE
241,Argentina,ARG,Indicator,Emerging,Health,"Covid Growth, Deaths (biweekly)",0,0,0,Secondary,TRUE
242,Argentina,ARG,Indicator,Emerging,Health,Oxford Gov Response Index,1,1,1,Secondary,TRUE
243,Argentina,ARG,Indicator,Emerging,Health,ACAPS Health Crisis Tracker,0,0,0,Secondary,TRUE
244,Argentina,ARG,Indicator,Emerging,Health,New Covid Cases per 1M,10,10,10,Secondary,TRUE
245,Argentina,ARG,Indicator,Emerging,Health,New Covid Deaths per 1M,10,10,10,Secondary,TRUE
246,Argentina,ARG,Indicator,Emerging,Health,Oxford Lockdown Rollback Index,4,4,4,Secondary,TRUE
247,Argentina,ARG,Indicator,Emerging,Health,WHO Disease Outbreak News,0,0,0,Secondary,TRUE
