"","Countryname","Country","S_INFORM_vul","S_INFORM_vul_norm","S_gdp_change.Value","S_gdp_change.Rating","S_unemployment.Value","S_unemployment.Rating","S_income_support.Value","S_income_support.Rating","S_gdp_change.Rating_norm","S_unemployment.Rating_norm","S_income_support.Rating_crm_norm","S_pov_comb_norm","S_pov_prop_22_21_norm","S_pov_prop_21_20_norm","S_pov_prop_20_19_norm","S_pov_prop_22_21","S_pov_prop_21_20","S_pov_prop_20_19","S_Subject.Descriptor","S_Subject.Notes","S_Units","S_Scale","S_X2017","S_X2018","S_X2019","S_X2020","S_X2021","S_X2022","S_X2023","S_X2024","S_X2025","S_Change.in.unemployement.rate.2019.to.2020","S_change_unemp_21","S_change_unemp_20","S_change_unemp_21_norm","S_change_unemp_20_norm","S_change_unemp_norm","S_Household.risks","S_Household.risks_raw","S_phone_average_index","S_phone_average_index_norm"
"11","Burundi","BDI",7,10,"2.8 %","Low","NO DATA",NA,"Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,NA,0,9.31379674220999,9.31379674220999,7.94101010291051,5.25333308009299,0.362759348441998,0.588202020582102,1.5759999240279,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Belgium","BEL",0.3,0.428571428571429,"4.0 %","Low","6.8 %","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",0,7,3,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,7.117,5.958,5.358,6.136,7.638,6.612,6.232,5.888,5.636,"0.778",1.502,0.778,10,2.59333333333334,10,NA,NA,NA,NA
"13","Benin","BEN",6.4,9.14285714285714,"5.0 %","Low","NO DATA",NA,"Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",0,NA,3,0.973648806288665,0,0.212760931510019,0.973648806288665,-1.5975385922754,-0.957447813697996,0.2920946418866,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Burkina Faso","BFA",6.8,9.71428571428571,"4.3 %","Low","NO DATA",NA,"No income support","High",0,NA,7,6.35530978231749,2.90853573243901,6.35530978231749,6.34366306448233,-0.918292853512199,0.271061956463498,1.9030989193447,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,2.94095897674561,4.20136996677944
"15","Bangladesh","BGD",4.8,6.85714285714286,"5.0 %","Low","NO DATA",NA,"Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,NA,0,10,5.66432007050301,4.5659165637375,10,-0.367135985899399,-0.0868166872525009,9.3,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,0,0,2.30379104614258,3.29113006591797
"16","Bulgaria","BGR",1.9,2.71428571428571,"4.4 %","Low","5.2 %","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",0,7,3,6.1507084423729,6.1507084423729,5,0,-0.26985831152542,0,0,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,6.23,5.2,4.2,5.6,4.5,4.3,4.2,4.2,4.2,"1.4",-1.1,1.4,0,4.66666666666666,4.66666666666666,10,1,7.64731784396701,10
"17","Bahrain","BHR",1.2,1.71428571428572,"-5.4 %","High","5.0 %","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",10,7,3,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,3.58,3.932,4,4.897,3.912,3.831,3.807,3.784,3.749,"0.897",-0.985,0.897,0,2.99,2.99,NA,NA,NA,NA
"18","Bahamas","BHS",2.4,3.42857142857143,"-16.3 %","High","24.0 %","High","NO DATA",NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,10.1,10.35,10.653,25.408,20.305,18.02,16.077,15.59,15.268,"14.755",-5.103,14.755,0,10,10,NA,NA,NA,NA
"19","Bosnia and Herzegovina","BIH",2.6,3.71428571428571,"-5.5 %","High","19.0 %","Medium","No income support","High",10,7,7,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,20.5,18.4,15.7,19,17.5,16.8,16,15.3,14.5,"3.3",-1.5,3.3,0,10,10,NA,NA,NA,NA
"20","Belarus","BLR",1.1,1.57142857142857,"-0.9 %","Medium","4.5 %","Low","No income support","High",7,0,7,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,0.768,0.428,0.295,1.403,1.104,0.805,0.604,0.604,0.504,"1.108",-0.299,1.108,0,3.69333333333333,3.69333333333333,0,0,NA,NA
"21","Belize","BLZ",3.8,5.42857142857143,"1.9 %","Low","23.2 %","High","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,10,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,9.35,9.725,9,25.059,20.883,18.556,17.758,17.755,17.753,"16.059",-4.176,16.059,0,10,10,NA,NA,NA,NA
"22","Bolivia","BOL",4.4,6.28571428571429,"5.5 %","Low","4.0 %","Low","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,0,0,5.20683520151657,5.03455702648345,1.3893755901296,5.20683520151657,-0.49308859470331,-0.72212488197408,1.56205056045497,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,4,4,4,8,4,4,4,4,4,"4",-4,4,0,10,10,NA,NA,4.04533398946126,5.77904855637323
"23","Brazil","BRA",3.5,5,"3.7 %","Low","13.2 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,7,0,10,2.99666993648995,10,0,-0.90066601270201,3.73753883651268,-2.57631963743077,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,12.767,12.258,11.925,13.371,14.125,13.284,12.457,11.641,10.82,"1.446",0.754,1.446,7.54,4.82,7.54,10,1,NA,NA
"24","Barbados","BRB",2.3,3.28571428571428,"4.1 %","Low","16.1 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,7,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,9.95,10.05,10.357,14.853,12.8,11.822,11.502,11.183,10.863,"4.496",-2.053,4.496,0,10,10,NA,NA,NA,NA
"25","Brunei Darussalam","BRN",1.5,2.14285714285714,"1.2 %","Low","6.8 %","Medium","No income support","High",0,7,7,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,9.3,8.7,6.822,6.822,6.822,6.822,6.822,6.822,6.822,"0",0,0,0,0,0,NA,NA,NA,NA
"26","Bhutan","BTN",5.2,7.42857142857143,"-0.8 %","Medium","NO DATA",NA,"Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",7,NA,0,7.0231235193543,7.0231235193543,4.849122625124,0,-0.0953752961291401,-0.0301754749751999,0,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,3.138,NA,NA,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,NA,NA,1.41943359375,2.02776227678571
"27","Botswana","BWA",4.5,6.42857142857143,"-8.3 %","High","NO DATA",NA,"No income support","High",10,NA,7,10,3.8510272292815,1.060035310849,10,-0.7297945541437,-0.7879929378302,3.5543547112626,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Central African Republic","CAF",9.2,10,"3.5 %","Low","NO DATA",NA,"Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,NA,0,4.45194954306601,4.45194954306601,3.89415256958749,2.95235200993199,-0.609610091386799,-0.221169486082502,0.885705602979598,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,6.07665608723958,8.68093726748512
"29","Canada","CAN",0.4,0.571428571428571,"-5.4 %","High","9.6 %","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",10,7,3,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,6.342,5.833,5.667,9.748,7.922,6.935,6.638,6.543,6.513,"4.081",-1.826,4.081,0,10,10,NA,NA,NA,NA
"30","Switzerland","CHE",0.3,0.428571428571429,"-3.0 %","High","3.1 %","Low","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",10,0,3,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,3.088,2.547,2.306,3.211,3.55,3.4,3.2,3,3,"0.905",0.339,0.905,3.39,3.01666666666667,3.39,NA,NA,NA,NA
"31","Chile","CHL",1.5,2.14285714285714,"-5.8 %","High","9.0 %","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",10,7,3,7.4961552,7.4961552,4.98860797614744,0,-0.000768960000000003,-0.0022784047705117,-0.253255707438223,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,6.965,7.377,7.223,11.441,10.196,9.096,8.157,7.477,7.075,"4.218",-1.245,4.218,0,10,10,10,1,1.3599643389384,1.94280619848342
"32","China","CHN",2.6,3.71428571428571,"8.4 %","Low","3.8 %","Low","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,0,0,7.35360215466743,7.35360215466743,4.72877618542469,0,-0.029279569066513,-0.054244762915062,-0.018542845643465,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,3.9,3.8,3.62,3.8,3.64,3.6,3.54,3.53,3.51,"0.18",-0.16,0.18,0,0.6,0.6,0,0,NA,NA
